voxel_number,first_dataset_13,second_dataset_13
1,5,8
2,1,1
3,5,4
4,5,4
5,8,12
6,5,4
7,5,4
8,5,4
9,5,4
10,8,12
11,5,4
12,8,12
13,8,0
14,0,0
15,5,4
16,5,4
17,10,12
18,8,12
19,0,0
20,0,0
21,9,4
22,5,4
23,5,4
24,5,12
25,10,12
26,10,12
27,8,0
28,0,0
29,2,8
30,12,4
31,10,12
32,8,0
33,0,0
34,6,2
35,11,4
36,5,4
37,5,4
38,8,0
39,8,0
40,0,0
41,6,2
42,1,1
43,11,4
44,11,4
45,9,4
46,9,4
47,9,4
48,4,6
49,1,1
50,1,1
51,1,10
52,1,1
53,1,1
54,11,4
55,11,4
56,10,12
57,8,12
58,0,0
59,12,8
60,10,12
61,10,12
62,8,12
63,0,0
64,5,4
65,7,3
66,7,3
67,10,12
68,10,12
69,10,12
70,10,11
71,10,12
72,8,0
73,0,0
74,0,0
75,5,4
76,5,4
77,5,4
78,10,12
79,10,12
80,10,12
81,10,12
82,10,12
83,10,12
84,8,0
85,0,0
86,0,0
87,0,0
88,12,4
89,12,4
90,5,4
91,5,12
92,10,12
93,10,12
94,10,12
95,10,12
96,10,0
97,8,0
98,0,0
99,12,8
100,12,8
101,5,4
102,5,4
103,5,12
104,5,12
105,10,12
106,8,0
107,0,0
108,0,0
109,2,8
110,12,8
111,11,3
112,11,4
113,5,4
114,8,12
115,8,0
116,0,0
117,6,1
118,11,8
119,11,3
120,11,3
121,11,4
122,5,4
123,3,12
124,8,6
125,4,0
126,1,1
127,1,10
128,1,10
129,1,10
130,1,4
131,4,5
132,4,5
133,4,5
134,1,1
135,9,1
136,8,12
137,11,8
138,2,8
139,9,1
140,10,12
141,10,11
142,8,11
143,0,0
144,12,8
145,2,2
146,2,8
147,5,1
148,10,12
149,10,12
150,10,11
151,10,11
152,8,11
153,0,0
154,0,0
155,0,0
156,12,8
157,12,8
158,5,4
159,10,12
160,10,11
161,10,11
162,10,11
163,8,11
164,0,0
165,0,0
166,0,0
167,12,8
168,12,8
169,12,8
170,5,3
171,10,12
172,10,12
173,10,11
174,10,12
175,8,0
176,0,0
177,0,0
178,0,0
179,12,8
180,12,8
181,12,4
182,5,4
183,5,12
184,10,12
185,10,12
186,8,12
187,8,0
188,0,0
189,0,0
190,0,0
191,12,8
192,12,8
193,12,4
194,5,4
195,5,4
196,5,12
197,10,12
198,10,12
199,8,0
200,0,0
201,0,0
202,12,8
203,12,8
204,11,3
205,11,4
206,5,4
207,5,4
208,10,12
209,10,12
210,0,0
211,11,8
212,11,3
213,11,3
214,11,4
215,5,4
216,10,12
217,8,6
218,11,10
219,4,3
220,4,12
221,4,12
222,4,12
223,1,10
224,1,10
225,1,5
226,1,5
227,1,5
228,1,1
229,4,7
230,9,1
231,8,11
232,6,2
233,9,1
234,9,5
235,10,11
236,8,11
237,8,11
238,0,11
239,6,2
240,6,2
241,9,1
242,5,4
243,10,12
244,10,12
245,10,11
246,10,11
247,8,11
248,0,11
249,0,0
250,0,0
251,6,2
252,6,2
253,6,2
254,2,2
255,5,4
256,10,12
257,10,11
258,10,11
259,10,11
260,8,11
261,0,0
262,0,0
263,0,0
264,2,2
265,6,2
266,6,2
267,2,8
268,5,4
269,10,12
270,10,12
271,10,12
272,8,12
273,8,0
274,0,0
275,0,0
276,12,8
277,2,2
278,2,8
279,2,8
280,5,4
281,5,12
282,10,12
283,8,12
284,8,0
285,0,0
286,0,0
287,12,8
288,12,8
289,12,8
290,5,4
291,5,4
292,10,12
293,10,12
294,8,12
295,8,0
296,0,0
297,0,0
298,12,8
299,12,8
300,12,8
301,12,8
302,5,4
303,5,4
304,5,12
305,10,12
306,8,12
307,8,0
308,8,0
309,0,0
310,12,8
311,11,8
312,11,3
313,11,8
314,12,8
315,7,4
316,7,12
317,10,12
318,8,12
319,8,0
320,0,0
321,1,1
322,11,3
323,11,3
324,11,3
325,7,3
326,7,3
327,7,12
328,4,12
329,1,1
330,1,10
331,1,10
332,4,10
333,4,3
334,4,12
335,1,5
336,1,5
337,3,7
338,9,5
339,9,1
340,3,7
341,10,11
342,10,11
343,8,11
344,8,11
345,0,11
346,6,2
347,6,2
348,9,1
349,9,1
350,5,4
351,10,12
352,10,11
353,10,11
354,8,11
355,0,11
356,0,0
357,0,0
358,6,2
359,6,2
360,6,2
361,2,8
362,5,4
363,10,12
364,10,12
365,10,12
366,8,0
367,0,0
368,0,0
369,6,2
370,6,2
371,6,2
372,2,8
373,5,4
374,5,12
375,10,12
376,8,12
377,8,0
378,0,0
379,0,0
380,2,2
381,2,2
382,2,8
383,5,4
384,5,12
385,5,12
386,5,12
387,8,0
388,0,0
389,0,0
390,12,8
391,2,8
392,2,8
393,2,8
394,5,4
395,5,4
396,5,4
397,5,12
398,8,0
399,0,0
400,0,0
401,12,8
402,12,8
403,12,8
404,12,8
405,5,4
406,5,4
407,8,4
408,8,0
409,0,0
410,0,0
411,12,8
412,12,8
413,12,8
414,7,8
415,7,3
416,7,3
417,8,12
418,0,0
419,11,8
420,11,3
421,7,3
422,7,3
423,7,3
424,7,3
425,4,0
426,1,1
427,1,1
428,4,10
429,4,3
430,4,12
431,4,12
432,1,5
433,6,1
434,3,7
435,3,7
436,3,7
437,10,7
438,10,11
439,8,11
440,8,11
441,8,11
442,6,2
443,9,1
444,9,5
445,5,7
446,10,12
447,10,11
448,8,11
449,8,11
450,0,11
451,6,2
452,6,2
453,6,2
454,2,2
455,2,1
456,5,4
457,5,4
458,5,4
459,5,0
460,0,0
461,0,0
462,6,2
463,6,2
464,6,2
465,2,2
466,2,8
467,5,4
468,5,4
469,5,4
470,5,4
471,5,4
472,0,0
473,2,2
474,2,2
475,6,2
476,2,2
477,2,8
478,5,4
479,5,4
480,5,4
481,5,4
482,5,4
483,5,4
484,12,8
485,12,8
486,2,8
487,2,8
488,2,8
489,5,8
490,5,8
491,5,4
492,5,4
493,5,4
494,5,4
495,12,8
496,12,8
497,12,8
498,12,8
499,12,8
500,7,8
501,5,4
502,5,4
503,5,4
504,9,8
505,12,8
506,12,8
507,7,3
508,7,8
509,7,8
510,7,3
511,7,3
512,7,4
513,5,4
514,1,1
515,7,3
516,7,3
517,7,3
518,7,3
519,7,3
520,1,10
521,4,12
522,3,11
523,3,7
524,3,7
525,3,7
526,3,7
527,3,11
528,6,2
529,6,1
530,9,1
531,9,5
532,9,5
533,9,7
534,3,7
535,3,7
536,3,6
537,3,6
538,3,6
539,6,2
540,6,2
541,6,2
542,2,1
543,2,1
544,9,1
545,9,4
546,9,4
547,5,4
548,3,6
549,3,6
550,6,2
551,6,2
552,6,2
553,2,2
554,2,8
555,2,8
556,2,8
557,2,1
558,5,4
559,5,4
560,5,4
561,2,2
562,2,8
563,2,2
564,2,2
565,2,8
566,2,8
567,2,8
568,2,8
569,2,8
570,9,4
571,9,4
572,12,8
573,12,8
574,2,8
575,2,8
576,2,8
577,12,8
578,2,8
579,2,8
580,2,8
581,2,8
582,2,8
583,12,8
584,12,8
585,12,8
586,12,8
587,12,8
588,12,8
589,7,8
590,12,8
591,2,8
592,12,8
593,7,3
594,7,3
595,7,3
596,7,3
597,7,3
598,7,3
599,7,3
600,4,4
601,4,3
602,7,3
603,7,3
604,7,3
605,7,3
606,7,3
607,1,5
608,4,12
609,4,12
610,3,9
611,9,5
612,9,5
613,3,7
614,3,7
615,3,7
616,3,6
617,3,6
618,6,2
619,6,1
620,9,1
621,9,5
622,9,5
623,9,5
624,9,7
625,3,7
626,3,6
627,3,6
628,3,6
629,6,2
630,6,2
631,6,2
632,2,2
633,2,1
634,9,1
635,9,1
636,9,5
637,3,5
638,3,6
639,3,6
640,6,2
641,6,2
642,6,2
643,2,2
644,2,2
645,2,2
646,2,2
647,2,1
648,9,1
649,9,5
650,9,5
651,2,2
652,2,8
653,2,2
654,2,2
655,2,2
656,2,2
657,2,2
658,2,2
659,2,1
660,12,8
661,12,8
662,2,8
663,2,2
664,2,8
665,2,2
666,6,2
667,12,8
668,12,8
669,12,8
670,12,8
671,12,8
672,12,8
673,12,8
674,2,8
675,12,8
676,7,3
677,7,3
678,7,3
679,7,8
680,7,8
681,7,3
682,4,4
683,4,3
684,7,3
685,7,3
686,7,3
687,1,5
688,6,2
689,3,9
690,6,1
691,3,7
692,3,9
693,3,9
694,3,9
695,3,3
696,6,2
697,6,2
698,9,5
699,3,5
700,3,6
701,3,6
702,6,2
703,6,2
704,6,2
705,9,1
706,9,5
707,3,6
708,3,6
