voxel_number,cluster_4,cluster_6,cluster_8,cluster_13,X,Y,Z,Chat-252
1,3,3,7,4,53,25,18,0.004974713
2,3,3,4,9,63,34,18,7.76e-05
3,3,3,7,7,53,25,19,0.005733273
4,3,3,7,7,53,26,19,0.006038758
5,3,3,4,9,62,33,19,0.002626408
6,1,1,1,10,53,25,20,0.01304266
7,1,1,1,10,53,26,20,0.01472626
8,1,1,1,1,53,27,20,0.011972019
9,3,1,7,7,53,28,20,0.007415192
10,1,4,5,8,62,28,20,0.023931876
11,3,3,7,7,53,29,20,0.005598719
12,1,4,5,8,62,29,20,0.02334433
13,3,1,7,1,63,29,20,0.009111056
14,0,0,0,0,64,29,20,-1.0
15,1,4,5,5,54,30,20,0.01860754
16,3,1,7,7,55,30,20,0.007196636
17,3,1,7,1,59,30,20,0.008855999
18,1,4,5,8,62,30,20,0.023980884
19,1,1,1,1,63,30,20,0.00999031
20,0,0,0,0,64,30,20,-1.0
21,3,3,7,7,53,31,20,0.00683878
22,1,4,5,8,54,31,20,0.020891892
23,1,1,1,10,55,31,20,0.01449472
24,1,4,5,8,57,31,20,0.024314059
25,1,4,5,5,58,31,20,0.01943165
26,3,1,1,1,59,31,20,0.009422506
27,1,4,5,8,62,31,20,0.021164019
28,3,1,7,7,63,31,20,0.008118368
29,3,3,7,7,53,32,20,0.006432292
30,1,4,5,5,54,32,20,0.01868927
31,1,1,1,1,59,32,20,0.011619566
32,1,1,1,10,62,32,20,0.01433919
33,3,3,7,4,63,32,20,0.004903552
34,3,3,4,4,53,33,20,0.004347993
35,2,4,3,12,55,33,20,0.029230548
36,2,2,6,6,58,33,20,0.046146363
37,1,1,1,10,59,33,20,0.013800713
38,3,3,7,7,62,33,20,0.006557266
39,3,3,4,9,63,33,20,0.002324083
40,0,0,0,0,64,33,20,-1.0
41,3,3,4,9,53,34,20,0.001559781
42,3,3,4,4,54,34,20,0.004448379
43,1,4,5,8,55,34,20,0.02163065
44,1,4,5,5,56,34,20,0.017016856
45,1,4,5,5,58,34,20,0.016809823
46,3,1,7,7,59,34,20,0.007210143
47,0,0,0,0,60,34,20,-1.0
48,3,3,4,9,63,34,20,0.000820961
49,3,3,4,9,54,35,20,0.000573573
50,3,3,4,4,55,35,20,0.003743233
51,3,3,7,4,56,35,20,0.004937759
52,3,3,4,9,58,35,20,0.002236549
53,3,3,4,9,59,35,20,0.002106066
54,2,2,3,3,53,26,21,0.0372771
55,2,2,3,3,53,27,21,0.03215842
56,0,0,0,0,60,27,21,-1.0
57,1,4,5,5,62,27,21,0.018201558
58,0,0,0,0,64,27,21,-1.0
59,1,1,1,10,54,28,21,0.015133788
60,0,0,0,0,60,28,21,-1.0
61,1,1,1,1,61,28,21,0.011605455
62,1,4,5,5,62,28,21,0.017452486
63,0,0,0,0,64,28,21,-1.0
64,1,1,1,10,54,29,21,0.014632551
65,3,3,7,7,55,29,21,0.006524711
66,3,3,4,4,56,29,21,0.004175591
67,1,1,1,1,57,29,21,0.010197222
68,3,1,7,7,58,29,21,0.007778611
69,3,1,7,7,59,29,21,0.008131813
70,0,0,0,0,60,29,21,-1.0
71,1,1,1,1,61,29,21,0.011012562
72,1,4,5,8,62,29,21,0.022032257
73,1,1,1,10,63,29,21,0.014092584
74,0,0,0,0,64,29,21,-1.0
75,3,3,7,4,53,30,21,0.005176599
76,1,4,5,10,54,30,21,0.016298098
77,3,1,7,7,55,30,21,0.008446886
78,3,3,7,7,56,30,21,0.006104144
79,1,1,1,10,57,30,21,0.014292705
80,1,1,1,1,58,30,21,0.012570936
81,3,1,7,7,59,30,21,0.008595457
82,0,0,0,0,60,30,21,-1.0
83,1,4,3,8,61,30,21,0.024894029
84,2,2,3,3,62,30,21,0.032128118
85,1,4,5,5,63,30,21,0.019100284
86,0,0,0,0,64,30,21,-1.0
87,0,0,0,0,65,30,21,-1.0
88,3,3,7,7,53,31,21,0.005473828
89,1,4,5,5,54,31,21,0.020535307
90,1,4,5,5,55,31,21,0.02008924
91,1,1,1,10,56,31,21,0.014306233
92,2,2,3,3,57,31,21,0.037082117
93,1,4,3,12,58,31,21,0.025799217
94,1,1,1,1,59,31,21,0.012212956
95,0,0,0,0,60,31,21,-1.0
96,1,4,3,8,61,31,21,0.025214361
97,1,4,3,12,62,31,21,0.02816201
98,1,1,1,10,63,31,21,0.014843551
99,3,3,7,7,53,32,21,0.005563876
100,1,4,5,8,54,32,21,0.022276677
101,2,2,6,3,55,32,21,0.040725965
102,2,2,3,3,56,32,21,0.03534621
103,2,5,2,2,57,32,21,0.05949485
104,2,2,6,6,58,32,21,0.045393933
105,1,1,5,10,59,32,21,0.015648913
106,1,4,5,5,62,32,21,0.020305635
107,3,1,7,1,63,32,21,0.009066524
108,0,0,0,0,64,32,21,-1.0
109,3,3,4,4,53,33,21,0.004019382
110,1,4,5,5,54,33,21,0.016756237
111,2,5,6,2,55,33,21,0.05342613
112,2,2,6,6,56,33,21,0.04787737
113,2,5,2,2,58,33,21,0.058096137
114,1,1,1,1,61,33,21,0.0100715
115,3,3,7,7,63,33,21,0.006293631
116,0,0,0,0,64,33,21,-1.0
117,3,3,4,9,53,34,21,0.00161629
118,3,1,7,1,54,34,21,0.008837019
119,2,2,6,3,55,34,21,0.04099463
120,2,2,6,6,56,34,21,0.04496792
121,2,2,3,12,57,34,21,0.031405527
122,1,4,5,8,58,34,21,0.023857525
123,3,3,7,4,61,34,21,0.00527958
124,3,3,4,9,63,34,21,0.002517425
125,0,0,0,0,64,34,21,-1.0
126,3,3,4,9,54,35,21,0.001514491
127,3,1,1,1,55,35,21,0.009543445
128,1,1,1,10,56,35,21,0.015087776
129,3,3,7,7,57,35,21,0.00634162
130,3,3,7,4,58,35,21,0.004949819
131,3,1,7,7,59,35,21,0.007954675
132,0,0,0,0,60,35,21,-1.0
133,3,3,4,9,61,35,21,0.000880699
134,3,3,4,9,58,36,21,0.000485305
135,1,4,5,5,54,26,22,0.017753279
136,1,4,5,5,62,26,22,0.018918486
137,2,5,2,2,53,27,22,0.061848782
138,1,4,5,5,54,27,22,0.016854258
139,3,1,7,7,55,27,22,0.00767534
140,3,1,7,7,59,27,22,0.007666179
141,1,1,1,10,61,27,22,0.014390031
142,1,1,1,10,62,27,22,0.014870731
143,0,0,0,0,64,27,22,-1.0
144,1,4,3,12,53,28,22,0.02895001
145,1,1,1,10,54,28,22,0.013966577
146,1,1,1,1,55,28,22,0.00992668
147,1,1,1,1,56,28,22,0.011045687
148,3,3,7,7,58,28,22,0.005854412
149,3,3,7,4,59,28,22,0.005353632
150,0,0,0,0,60,28,22,-1.0
151,1,1,1,10,61,28,22,0.012923847
152,1,1,1,10,62,28,22,0.013555476
153,3,1,7,1,63,28,22,0.008773431
154,0,0,0,0,64,28,22,-1.0
155,0,0,0,0,65,28,22,-1.0
156,3,1,7,7,53,29,22,0.007462265
157,3,1,7,7,56,29,22,0.008426813
158,1,1,1,1,57,29,22,0.010281705
159,3,3,7,7,58,29,22,0.006896714
160,3,3,7,7,59,29,22,0.005591154
161,0,0,0,0,60,29,22,-1.0
162,1,1,1,10,61,29,22,0.013780143
163,1,4,5,8,62,29,22,0.02106283
164,1,1,1,10,63,29,22,0.013307745
165,0,0,0,0,64,29,22,-1.0
166,0,0,0,0,65,29,22,-1.0
167,3,3,4,4,53,30,22,0.003140146
