voxel_number,cluster_4,cluster_6,cluster_8,cluster_13,X,Y,Z,Chat-252
6,0,4,0,8,53,25,20,0.01304266
7,3,4,2,2,53,26,20,0.01472626
8,0,0,0,0,53,27,20,0.011972019
10,2,1,3,3,62,28,20,0.023931876
12,2,1,3,3,62,29,20,0.02334433
15,1,5,5,5,54,30,20,0.01860754
18,2,1,3,3,62,30,20,0.023980884
19,0,0,6,6,63,30,20,0.00999031
22,1,1,1,1,54,31,20,0.020891892
23,3,4,2,11,55,31,20,0.01449472
24,2,1,3,3,57,31,20,0.024314059
25,1,5,5,9,58,31,20,0.01943165
27,1,1,1,1,62,31,20,0.021164019
30,1,5,5,5,54,32,20,0.01868927
31,0,0,0,0,59,32,20,0.011619566
32,3,4,2,11,62,32,20,0.01433919
37,3,4,2,11,59,33,20,0.013800713
43,1,1,1,1,55,34,20,0.02163065
44,3,3,5,10,56,34,20,0.017016856
45,3,3,5,10,58,34,20,0.016809823
57,1,5,5,5,62,27,21,0.018201558
59,3,3,2,2,54,28,21,0.015133788
61,0,0,0,0,61,28,21,0.011605455
62,3,5,5,5,62,28,21,0.017452486
64,3,4,2,2,54,29,21,0.014632551
67,0,0,6,6,57,29,21,0.010197222
71,0,0,6,12,61,29,21,0.011012562
72,1,1,1,1,62,29,21,0.022032257
73,3,4,2,11,63,29,21,0.014092584
76,3,3,2,10,54,30,21,0.016298098
79,3,4,2,11,57,30,21,0.014292705
80,0,4,0,8,58,30,21,0.012570936
83,2,2,3,3,61,30,21,0.024894029
85,1,5,5,9,63,30,21,0.019100284
89,1,5,1,9,54,31,21,0.020535307
90,1,5,1,9,55,31,21,0.02008924
91,3,4,2,11,56,31,21,0.014306233
93,2,2,7,7,58,31,21,0.025799217
94,0,0,0,0,59,31,21,0.012212956
96,2,2,7,7,61,31,21,0.025214361
97,2,2,4,4,62,31,21,0.02816201
98,3,3,2,2,63,31,21,0.014843551
100,1,1,1,1,54,32,21,0.022276677
105,3,3,2,2,59,32,21,0.015648913
106,1,5,1,9,62,32,21,0.020305635
110,3,3,5,10,54,33,21,0.016756237
114,0,0,6,6,61,33,21,0.0100715
122,2,1,3,3,58,34,21,0.023857525
128,3,3,2,2,56,35,21,0.015087776
135,3,5,5,5,54,26,22,0.017753279
136,1,5,5,9,62,26,22,0.018918486
138,3,3,5,10,54,27,22,0.016854258
141,3,4,2,11,61,27,22,0.014390031
142,3,3,2,2,62,27,22,0.014870731
144,2,2,4,4,53,28,22,0.02895001
145,3,4,2,11,54,28,22,0.013966577
146,0,0,6,6,55,28,22,0.00992668
147,0,0,6,12,56,28,22,0.011045687
151,0,4,0,8,61,28,22,0.012923847
152,3,4,0,11,62,28,22,0.013555476
158,0,0,6,6,57,29,22,0.010281705
162,3,4,2,11,61,29,22,0.013780143
163,1,1,1,1,62,29,22,0.02106283
164,0,4,0,8,63,29,22,0.013307745
168,3,4,2,11,54,30,22,0.014293979
171,0,0,6,6,57,30,22,0.010355577
172,0,0,6,12,58,30,22,0.011200154
174,1,1,1,1,61,30,22,0.022288555
176,1,5,5,9,63,30,22,0.019555679
180,1,5,5,9,54,31,22,0.019397635
181,1,5,5,9,55,31,22,0.019539665
182,3,3,2,2,56,31,22,0.015413065
184,2,2,4,4,58,31,22,0.027555974
185,3,4,2,11,59,31,22,0.013943564
186,1,1,1,1,61,31,22,0.0225089
187,2,2,4,4,62,31,22,0.028697584
188,3,3,2,2,63,31,22,0.015447916
192,2,1,3,3,54,32,22,0.023674503
197,3,5,5,5,59,32,22,0.017429493
199,2,1,3,3,62,32,22,0.024242884
200,0,0,6,12,63,32,22,0.010904887
203,1,1,1,1,54,33,22,0.02192067
208,2,1,3,3,59,33,22,0.02370382
211,0,0,0,0,54,34,22,0.011835149
215,2,2,7,7,58,34,22,0.025445228
218,0,0,0,0,57,35,22,0.011792681
220,3,4,0,11,59,35,22,0.013477107
230,0,0,0,0,54,26,23,0.011639903
231,0,0,6,12,63,26,23,0.011007247
232,0,0,6,6,54,27,23,0.010567362
235,3,4,2,11,61,27,23,0.014442334
236,1,5,5,9,62,27,23,0.019454377
241,3,4,0,11,56,28,23,0.013573023
242,0,0,6,12,57,28,23,0.011364684
246,3,4,2,11,61,28,23,0.013809
247,1,5,5,5,62,28,23,0.017780606
252,0,0,6,6,54,29,23,0.009827836
256,0,0,6,6,58,29,23,0.009882634
259,3,4,2,2,61,29,23,0.014617408
260,1,5,5,5,62,29,23,0.018795354
265,3,3,2,2,54,30,23,0.015424748
269,0,4,0,8,58,30,23,0.01268422
272,3,3,2,2,61,30,23,0.015274818
273,1,1,1,1,62,30,23,0.02189209
274,0,0,6,6,63,30,23,0.010118975
277,1,5,5,9,54,31,23,0.019528523
278,3,3,5,10,55,31,23,0.017141394
279,3,3,2,2,56,31,23,0.014917108
280,2,2,4,4,57,31,23,0.028966917
281,1,5,1,9,58,31,23,0.020665769
282,0,0,0,0,59,31,23,0.012065101
283,3,3,5,10,61,31,23,0.017034877
284,1,1,1,1,62,31,23,0.021999985
285,0,0,6,6,63,31,23,0.009923829
287,1,1,1,1,54,32,23,0.022170777
291,2,2,4,4,58,32,23,0.028815934
292,3,4,2,11,59,32,23,0.014420652
294,1,5,1,9,61,32,23,0.020172816
295,2,2,7,7,62,32,23,0.025637945
296,0,0,6,6,63,32,23,0.009857742
299,1,1,1,1,54,33,23,0.021446003
304,1,5,5,9,59,33,23,0.019084759
306,2,2,7,7,61,33,23,0.025518415
308,0,0,6,6,63,33,23,0.009999937
311,0,4,0,8,54,34,23,0.012974122
315,1,1,1,1,58,34,23,0.021450533
316,2,1,3,3,59,34,23,0.024073198
318,1,5,1,9,61,34,23,0.019917114
323,1,1,3,3,55,35,23,0.022873648
324,2,1,3,3,56,35,23,0.023943702
325,3,3,2,10,57,35,23,0.016050242
326,0,0,0,0,58,35,23,0.0115812
327,3,4,2,11,59,35,23,0.0143608
342,0,0,6,12,61,27,24,0.010862184
343,3,3,2,2,62,27,24,0.015224819
353,0,0,6,12,61,28,24,0.011283982
354,3,3,2,10,62,28,24,0.01633708
365,0,0,0,0,61,29,24,0.012014128
366,3,3,5,10,62,29,24,0.017216614
369,0,4,0,8,54,30,24,0.012554827
376,0,0,0,0,61,30,24,0.01148554
377,3,5,5,5,62,30,24,0.017590245
380,3,4,2,11,55,31,24,0.013668621
381,3,3,5,10,56,31,24,0.01677954
382,3,4,2,11,57,31,24,0.013770229
383,0,0,6,12,58,31,24,0.011098561
386,3,3,2,10,61,31,24,0.016376378
387,1,1,1,1,62,31,24,0.022036674
390,1,5,5,9,54,32,24,0.0196802
391,2,2,4,4,55,32,24,0.028846951
394,3,3,2,2,58,32,24,0.01508547
397,1,1,3,3,61,32,24,0.022898184
398,2,2,7,7,62,32,24,0.026970247
401,1,5,1,9,54,33,24,0.020283366
405,1,5,5,9,58,33,24,0.01896056
406,0,4,0,8,59,33,24,0.012848185
407,1,1,1,1,61,33,24,0.02232128
411,3,4,2,11,54,34,24,0.014112141
415,1,5,5,5,58,34,24,0.018468456
416,3,3,2,10,59,34,24,0.015905457
417,2,2,7,7,62,34,24,0.026210962
420,2,2,7,7,55,35,24,0.026644347
422,1,5,5,5,57,35,24,0.018398436
423,0,4,0,8,58,35,24,0.012962941
424,0,0,6,12,59,35,24,0.011398538
436,0,0,6,12,59,27,25,0.010592
438,0,0,6,12,61,27,25,0.010847814
439,0,0,6,6,62,27,25,0.010494647
448,3,4,0,11,62,28,25,0.01362066
459,3,3,2,2,62,29,25,0.015780807
470,1,5,5,5,62,30,25,0.017819615
473,0,4,0,8,54,31,25,0.012471112
475,0,0,0,0,56,31,25,0.012052226
480,3,3,2,2,61,31,25,0.015282397
481,2,1,3,3,62,31,25,0.023767209
484,3,3,2,10,54,32,25,0.015923398
485,3,3,2,2,55,32,25,0.015155318
487,3,3,2,2,57,32,25,0.015696062
491,1,5,1,9,61,32,25,0.020635284
492,2,2,7,7,62,32,25,0.026184143
495,3,3,5,10,54,33,25,0.016988391
498,2,2,4,4,57,33,25,0.028560521
499,3,3,2,2,58,33,25,0.01516543
501,1,5,5,5,61,33,25,0.018588947
502,2,2,7,7,62,33,25,0.02666445
506,0,4,0,8,54,34,25,0.012645097
509,2,2,7,7,57,34,25,0.026928373
510,3,3,5,10,58,34,25,0.017014768
511,0,0,6,6,59,34,25,0.010292204
512,3,3,2,10,61,34,25,0.015926216
513,2,2,4,4,62,34,25,0.02761043
515,3,5,5,5,55,35,25,0.017451227
516,3,3,2,2,57,35,25,0.015122946
517,0,4,0,0,58,35,25,0.012269998
527,0,0,6,12,61,27,26,0.010786267
529,3,4,2,11,55,28,26,0.014009474
536,0,4,0,8,62,28,26,0.013300596
547,3,4,0,11,62,29,26,0.013619322
558,3,4,2,11,62,30,26,0.014280461
568,0,4,0,8,61,31,26,0.01238794
569,1,5,1,9,62,31,26,0.019803379
574,0,0,0,0,56,32,26,0.01202435
579,3,3,2,10,61,32,26,0.016259205
580,1,1,1,1,62,32,26,0.021939272
586,1,5,1,9,56,33,26,0.020357704
587,3,4,2,11,57,33,26,0.014004867
588,3,4,2,11,58,33,26,0.013750113
591,2,1,3,3,62,33,26,0.02337708
595,2,1,3,3,56,34,26,0.023494717
596,3,4,2,11,57,34,26,0.013866541
597,3,3,5,10,58,34,26,0.016650533
602,3,3,2,10,56,35,26,0.016053528
604,0,0,6,12,58,35,26,0.01093819
611,2,2,7,7,55,27,27,0.026843833
617,3,4,2,11,62,27,27,0.014147673
619,1,5,1,9,55,28,27,0.020329727
626,0,4,0,8,62,28,27,0.013153724
637,0,4,0,8,62,29,27,0.012977649
648,3,4,2,11,62,30,27,0.013713952
658,3,3,2,10,62,31,27,0.016186854
666,1,5,5,5,62,32,27,0.018259607
672,0,4,0,0,58,33,27,0.012290929
680,3,3,2,2,58,34,27,0.015403226
