cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 970,structure 939,structure 1098,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,179,12.218430034129693,0,70,0,0,45,1,0,0,61,0,0,0,2
1,86,5.870307167235495,0,7,4,0,0,0,0,10,4,15,18,3,25
2,146,9.965870307167235,0,43,2,0,0,0,0,0,2,16,3,0,80
3,119,8.122866894197953,1,0,0,0,0,0,1,18,0,6,18,53,22
4,210,14.334470989761092,0,43,0,2,0,0,3,12,35,45,13,7,50
5,62,4.2320819112627985,11,1,10,0,0,0,0,19,3,3,0,6,9
6,38,2.5938566552901023,24,3,0,0,0,0,0,0,11,0,0,0,0
7,41,2.7986348122866893,2,14,13,0,0,0,0,0,0,4,0,0,8
8,244,16.655290102389078,0,42,0,0,0,0,0,5,7,19,36,11,124
9,9,0.614334470989761,8,0,1,0,0,0,0,0,0,0,0,0,0
10,29,1.9795221843003412,0,0,0,0,0,0,0,19,0,0,10,0,0
11,91,6.21160409556314,2,43,0,0,11,0,0,0,1,33,0,0,1
12,211,14.40273037542662,0,85,0,4,1,0,3,32,2,55,0,10,19
