X,Y,Z,Chat-252
53,25,18,0.004974713
63,34,18,7.76E-05
53,25,19,0.005733273
53,26,19,0.006038758
62,33,19,0.002626408
53,25,20,0.01304266
53,26,20,0.01472626
53,27,20,0.011972019
53,28,20,0.007415192
62,28,20,0.023931876
53,29,20,0.005598719
62,29,20,0.02334433
63,29,20,0.009111056
64,29,20,-1
54,30,20,0.01860754
55,30,20,0.007196636
59,30,20,0.008855999
62,30,20,0.023980884
63,30,20,0.00999031
64,30,20,-1
53,31,20,0.00683878
54,31,20,0.020891892
55,31,20,0.01449472
57,31,20,0.024314059
58,31,20,0.01943165
59,31,20,0.009422506
62,31,20,0.021164019
63,31,20,0.008118368
53,32,20,0.006432292
54,32,20,0.01868927
59,32,20,0.011619566
62,32,20,0.01433919
63,32,20,0.004903552
53,33,20,0.004347993
55,33,20,0.029230548
58,33,20,0.046146363
59,33,20,0.013800713
62,33,20,0.006557266
63,33,20,0.002324083
64,33,20,-1
53,34,20,0.001559781
54,34,20,0.004448379
55,34,20,0.02163065
56,34,20,0.017016856
58,34,20,0.016809823
59,34,20,0.007210143
60,34,20,-1
63,34,20,0.000820961
54,35,20,0.000573573
55,35,20,0.003743233
56,35,20,0.004937759
58,35,20,0.002236549
59,35,20,0.002106066
53,26,21,0.0372771
53,27,21,0.03215842
60,27,21,-1
62,27,21,0.018201558
64,27,21,-1
54,28,21,0.015133788
60,28,21,-1
61,28,21,0.011605455
62,28,21,0.017452486
64,28,21,-1
54,29,21,0.014632551
55,29,21,0.006524711
56,29,21,0.004175591
57,29,21,0.010197222
58,29,21,0.007778611
59,29,21,0.008131813
60,29,21,-1
61,29,21,0.011012562
62,29,21,0.022032257
63,29,21,0.014092584
64,29,21,-1
53,30,21,0.005176599
54,30,21,0.016298098
55,30,21,0.008446886
56,30,21,0.006104144
57,30,21,0.014292705
58,30,21,0.012570936
59,30,21,0.008595457
60,30,21,-1
61,30,21,0.024894029
62,30,21,0.032128118
63,30,21,0.019100284
64,30,21,-1
65,30,21,-1
53,31,21,0.005473828
54,31,21,0.020535307
55,31,21,0.02008924
56,31,21,0.014306233
57,31,21,0.037082117
58,31,21,0.025799217
59,31,21,0.012212956
60,31,21,-1
61,31,21,0.025214361
62,31,21,0.02816201
63,31,21,0.014843551
53,32,21,0.005563876
54,32,21,0.022276677
55,32,21,0.040725965
56,32,21,0.03534621
57,32,21,0.05949485
58,32,21,0.045393933
59,32,21,0.015648913
62,32,21,0.020305635
63,32,21,0.009066524
64,32,21,-1
53,33,21,0.004019382
54,33,21,0.016756237
55,33,21,0.05342613
56,33,21,0.04787737
58,33,21,0.058096137
61,33,21,0.0100715
63,33,21,0.006293631
64,33,21,-1
53,34,21,0.00161629
54,34,21,0.008837019
55,34,21,0.04099463
56,34,21,0.04496792
57,34,21,0.031405527
58,34,21,0.023857525
