voxel_number,first_dataset_13,second_dataset_13,Structure-ID,voxRowNum
1,5,8,852,51174
3,5,4,852,53921
4,5,4,852,53988
5,8,12,136,54466
6,5,4,852,56668
7,5,4,852,56735
8,5,4,852,56802
9,5,4,852,56869
10,8,12,852,56878
11,5,4,852,56936
12,8,12,136,56945
13,8,0,1098,56946
15,5,4,852,57004
16,5,4,852,57005
17,10,12,136,57009
18,8,12,136,57012
21,9,4,136,57070
22,5,4,852,57071
23,5,4,852,57072
24,5,12,852,57074
25,10,12,136,57075
26,10,12,136,57076
27,8,0,136,57079
29,2,8,136,57137
30,12,4,852,57138
31,10,12,136,57143
32,8,0,136,57146
34,6,2,661,57204
35,11,4,661,57206
36,5,4,852,57209
37,5,4,978,57210
38,8,0,136,57213
39,8,0,136,57214
41,6,2,661,57271
43,11,4,661,57273
44,11,4,661,57274
45,9,4,978,57276
46,9,4,978,57277
47,9,4,978,57278
48,4,6,136,57281
51,1,10,661,57341
54,11,4,852,59482
55,11,4,852,59549
56,10,12,852,59556
57,8,12,852,59558
59,12,8,852,59617
60,10,12,852,59623
61,10,12,852,59624
62,8,12,852,59625
64,5,4,852,59684
65,7,3,852,59685
66,7,3,852,59686
67,10,12,852,59687
68,10,12,852,59688
69,10,12,852,59689
70,10,11,852,59690
71,10,12,136,59691
72,8,0,136,59692
75,5,4,136,59750
76,5,4,852,59751
77,5,4,852,59752
78,10,12,852,59753
79,10,12,852,59754
80,10,12,852,59755
81,10,12,136,59756
82,10,12,136,59757
83,10,12,136,59758
84,8,0,136,59759
88,12,4,136,59817
89,12,4,852,59818
90,5,4,852,59819
91,5,12,852,59820
92,10,12,852,59821
93,10,12,136,59822
94,10,12,136,59823
95,10,12,136,59824
96,10,0,136,59825
97,8,0,136,59826
99,12,8,661,59884
100,12,8,661,59885
101,5,4,661,59886
102,5,4,136,59887
103,5,12,852,59888
104,5,12,852,59889
105,10,12,136,59890
106,8,0,136,59893
109,2,8,661,59951
110,12,8,661,59952
111,11,3,661,59953
112,11,4,661,59954
113,5,4,136,59956
114,8,12,978,59959
115,8,0,136,59961
117,6,1,661,60018
118,11,8,661,60019
119,11,3,661,60020
120,11,3,661,60021
121,11,4,978,60022
122,5,4,136,60023
123,3,12,978,60026
124,8,6,136,60028
125,4,0,1107,60029
127,1,10,661,60087
128,1,10,661,60088
129,1,10,978,60089
130,1,4,978,60090
131,4,5,978,60091
132,4,5,978,60092
133,4,5,978,60093
135,9,1,852,62230
136,8,12,852,62238
137,11,8,852,62296
138,2,8,852,62297
139,9,1,852,62298
140,10,12,852,62302
141,10,11,852,62304
142,8,11,852,62305
144,12,8,852,62363
146,2,8,852,62365
147,5,1,852,62366
148,10,12,852,62368
149,10,12,852,62369
150,10,11,852,62370
151,10,11,852,62371
152,8,11,852,62372
156,12,8,136,62430
157,12,8,852,62433
158,5,4,852,62434
159,10,12,852,62435
160,10,11,852,62436
161,10,11,136,62437
162,10,11,136,62438
163,8,11,136,62439
167,12,8,136,62497
168,12,8,852,62498
169,12,8,852,62499
170,5,3,852,62500
171,10,12,852,62501
172,10,12,852,62502
173,10,11,136,62504
174,10,12,136,62505
175,8,0,136,62506
179,12,8,136,62564
180,12,8,136,62565
181,12,4,852,62566
182,5,4,136,62567
183,5,12,136,62568
184,10,12,136,62569
185,10,12,136,62570
186,8,12,136,62572
187,8,0,136,62573
191,12,8,136,62631
192,12,8,136,62632
193,12,4,136,62633
194,5,4,136,62634
195,5,4,136,62635
196,5,12,136,62636
197,10,12,136,62637
198,10,12,136,62638
199,8,0,1048,62640
202,12,8,661,62698
203,12,8,661,62699
204,11,3,661,62700
205,11,4,661,62701
206,5,4,136,62702
207,5,4,939,62703
208,10,12,939,62704
209,10,12,939,62705
211,11,8,661,62766
212,11,3,661,62767
213,11,3,661,62768
214,11,4,978,62769
215,5,4,143,62770
216,10,12,143,62772
217,8,6,1107,62775
218,11,10,978,62836
219,4,3,143,62837
220,4,12,978,62838
221,4,12,978,62839
222,4,12,978,62840
223,1,10,978,62903
224,1,10,978,62904
225,1,5,978,62905
226,1,5,978,62906
227,1,5,978,62907
229,4,7,852,64910
230,9,1,852,64977
231,8,11,1098,64986
232,6,2,852,65044
233,9,1,852,65045
234,9,5,852,65046
235,10,11,852,65051
236,8,11,852,65052
237,8,11,1098,65053
238,0,11,1098,65054
239,6,2,852,65111
240,6,2,852,65112
241,9,1,852,65113
242,5,4,852,65114
243,10,12,852,65115
244,10,12,852,65116
245,10,11,852,65117
246,10,11,852,65118
247,8,11,852,65119
248,0,11,1098,65120
251,6,2,136,65177
252,6,2,852,65178
253,6,2,852,65179
255,5,4,852,65181
256,10,12,852,65182
257,10,11,852,65183
258,10,11,136,65184
259,10,11,136,65185
260,8,11,136,65186
265,6,2,136,65245
266,6,2,852,65246
267,2,8,136,65247
268,5,4,136,65248
269,10,12,136,65249
270,10,12,136,65250
271,10,12,136,65251
272,8,12,136,65252
273,8,0,136,65253
276,12,8,136,65311
278,2,8,136,65313
279,2,8,136,65314
280,5,4,136,65315
281,5,12,136,65316
282,10,12,136,65317
283,8,12,136,65319
284,8,0,136,65320
287,12,8,136,65379
288,12,8,136,65380
289,12,8,136,65381
290,5,4,136,65382
291,5,4,136,65383
292,10,12,136,65384
293,10,12,1048,65385
294,8,12,1048,65386
295,8,0,1107,65387
298,12,8,661,65445
299,12,8,661,65446
300,12,8,661,65447
301,12,8,661,65448
302,5,4,136,65449
303,5,4,136,65450
304,5,12,978,65451
