voxel_number,first_dataset_4,second_dataset_4
2,2,3
3,1,2
4,1,2
6,1,2
7,1,2
8,1,2
9,1,2
11,1,2
15,1,2
16,0,2
22,1,2
23,1,2
24,0,2
25,0,2
29,3,1
31,0,2
36,1,2
37,1,2
42,2,1
43,2,1
45,2,1
49,2,3
50,2,1
51,2,1
52,2,3
53,2,1
54,1,2
55,1,2
66,1,2
67,0,2
75,1,2
77,1,2
87,0,2
90,1,2
91,0,2
99,3,1
101,1,2
102,1,2
103,1,2
104,0,2
109,3,1
113,1,2
118,2,1
122,1,2
126,2,1
129,2,1
130,2,1
134,2,1
135,3,1
139,3,1
140,0,2
148,0,2
158,1,2
166,0,2
168,3,1
170,1,2
178,0,2
179,3,1
180,3,1
182,1,2
183,0,2
190,0,2
191,3,1
194,1,2
195,1,2
196,0,2
206,1,2
207,1,2
215,1,2
218,2,1
219,1,2
220,0,2
223,2,1
228,2,1
230,2,1
233,2,1
241,3,1
242,1,2
243,0,2
263,0,2
275,0,2
276,3,1
278,3,1
280,1,2
281,0,2
286,0,2
287,3,1
290,1,2
291,1,2
292,0,2
303,1,2
304,0,2
310,3,1
315,1,2
316,0,2
321,2,1
322,2,1
326,1,2
327,0,2
329,2,1
339,2,1
349,2,1
350,1,2
362,1,2
373,1,2
374,0,2
379,0,2
382,3,1
383,1,2
384,0,2
385,0,2
386,0,2
387,0,2
388,0,2
389,1,2
390,3,1
391,3,1
392,3,1
393,3,1
394,1,2
395,1,2
396,1,2
397,0,2
398,0,2
399,0,2
400,1,2
403,3,1
406,1,2
407,0,2
408,0,2
409,0,2
410,1,2
416,1,2
419,2,1
423,1,2
424,0,2
426,2,3
427,2,1
443,2,1
445,0,2
455,3,1
456,1,2
457,1,2
458,1,2
459,0,2
460,0,2
461,0,2
466,3,1
469,1,2
470,1,2
471,0,2
472,1,2
477,3,1
480,1,2
481,1,2
482,1,2
483,1,2
484,3,1
485,3,1
492,1,2
493,1,2
494,1,2
502,1,2
504,3,1
512,1,2
513,1,2
514,2,1
516,1,2
517,1,2
518,0,2
519,0,2
523,0,2
530,3,1
543,3,1
545,1,2
546,1,2
547,1,2
548,0,2
555,3,1
556,3,1
558,1,2
559,1,2
560,1,2
566,3,1
567,3,1
568,3,1
573,3,1
576,3,1
579,3,1
580,3,1
581,3,1
582,3,1
591,3,1
601,1,2
602,1,2
603,1,2
604,1,2
605,0,2
606,1,2
609,0,2
619,3,1
620,3,1
625,0,2
626,0,2
633,3,1
634,3,1
635,3,1
638,0,2
648,2,1
674,3,1
683,1,2
684,1,2
685,1,2
686,1,2
689,0,2
693,0,2
694,0,2
695,1,2
700,0,2
701,0,2
705,2,1
708,0,2
712,2,1
727,1,2
728,1,2
737,0,2
740,0,2
745,1,2
746,0,2
752,2,1
754,0,2
771,1,3
778,1,2
779,1,2
780,1,2
791,3,1
792,2,1
797,0,2
805,3,1
806,3,1
808,1,2
809,1,2
810,0,2
818,3,1
819,3,1
820,1,2
821,1,2
822,1,2
828,3,1
830,3,1
831,3,1
833,3,1
836,3,1
837,3,1
838,3,1
855,1,2
856,1,2
857,1,2
858,1,2
861,3,1
871,3,1
874,0,2
884,3,1
886,1,2
887,1,2
888,0,2
889,0,2
890,0,2
895,3,1
899,1,2
900,1,2
901,1,2
906,3,1
911,1,2
912,1,2
913,3,1
914,3,1
917,3,1
943,1,2
944,1,2
945,1,2
946,1,2
947,0,2
948,0,2
949,0,2
952,0,2
963,2,1
964,1,2
965,0,2
976,1,2
977,0,2
987,1,2
988,1,2
989,0,2
990,0,2
991,0,2
992,0,2
998,1,2
999,1,2
1000,1,2
1001,0,2
1002,0,2
1003,0,2
1004,3,1
1005,3,1
1007,3,1
1009,1,2
1010,1,2
1011,1,2
1012,0,2
1013,0,2
1014,1,2
1017,3,1
1021,1,2
1022,0,2
1023,0,2
1024,1,2
1032,0,2
1033,0,2
1034,2,1
1038,0,2
1042,0,2
1048,2,1
1049,0,2
1057,3,1
1058,1,2
1059,0,2
1071,1,2
1082,1,2
1092,1,2
1093,0,2
1098,0,2
1099,3,1
1100,3,1
1101,3,1
1103,1,2
1104,0,2
1105,0,2
1114,1,2
1115,0,2
1125,0,2
1132,1,2
1134,2,1
1137,0,2
1140,0,2
1141,2,1
1144,2,1
1152,1,2
1153,0,2
1165,1,2
1173,0,2
1178,1,2
1186,0,2
1187,3,1
1191,1,2
1199,3,1
1200,3,1
1203,1,2
1204,0,2
1215,1,2
1216,1,2
1222,3,1
1227,1,2
1228,0,2
1233,2,1
1234,2,1
1235,1,2
1236,1,2
1237,1,2
1238,1,2
1241,2,1
1252,3,1
1254,0,2
1260,3,1
1268,0,2
1276,0,2
1280,1,2
1288,0,2
1291,1,2
1292,1,2
1301,0,2
1304,1,2
1305,1,2
1306,1,2
1313,3,1
1317,1,2
1318,1,2
1325,1,2
1332,0,2
1333,2,0
1339,2,3
1340,1,2
1341,1,2
1342,0,2
1352,0,2
1353,0,2
1360,1,2
1361,1,2
1362,1,2
1374,1,2
1383,3,1
1385,1,2
1386,1,2
1387,1,2
1388,0,2
1393,3,1
1396,1,2
1397,1,2
1402,2,1
1403,1,2
1404,1,2
1406,1,2
1407,0,2
1408,0,2
1409,0,2
1412,2,1
1415,2,1
1416,2,1
1419,2,3
1420,1,2
1421,1,2
1422,1,2
1423,1,2
1424,1,2
1432,1,2
1433,0,2
1434,0,2
1438,3,1
1440,0,2
1443,2,1
1444,1,2
1445,1,2
1446,1,2
1449,2,0
1451,2,1
1452,2,1
1453,2,1
1457,2,1
1458,2,1
1459,2,3
1460,2,3
1461,1,2
1462,1,2
