cluster,number of voxels,number of voxels (%),structure 773,structure 136,structure 970,structure 939,structure 1098,structure 235,structure 143,structure 978,structure 1107,structure 852,structure 661,structure 307,structure 1048
0,259,17.679180887372013,4,57,1,0,25,0,1,32,21,40,11,27,40
1,90,6.143344709897611,0,24,3,0,0,0,0,3,2,10,9,0,39
2,9,0.614334470989761,5,0,4,0,0,0,0,0,0,0,0,0,0
3,155,10.580204778156997,8,49,1,1,5,0,2,18,17,22,0,9,23
4,171,11.672354948805461,0,28,0,0,3,0,0,6,3,21,29,12,69
5,5,0.3412969283276451,4,0,1,0,0,0,0,0,0,0,0,0,0
6,30,2.04778156996587,10,7,4,0,3,1,0,2,0,0,0,0,3
7,214,14.607508532423207,4,60,1,2,9,0,0,15,49,28,4,14,28
8,254,17.33788395904437,2,49,5,1,12,0,3,24,23,34,23,26,52
9,1,0.06825938566552901,1,0,0,0,0,0,0,0,0,0,0,0,0
10,134,9.146757679180888,0,26,3,0,0,0,0,4,5,20,21,1,54
11,85,5.802047781569966,10,32,5,2,0,0,1,11,5,11,0,1,7
12,58,3.9590443686006824,0,19,2,0,0,0,0,0,1,10,1,0,25
