cluster_4,cluster_6,cluster_8,cluster_13,Gas6-72008122
1,5,4,10,0.06130261
3,3,3,11,0.10602468
0,5,0,8,0.07155491
0,0,7,0,0.081971936
0,0,0,0,0.07851669
0,0,0,0,0.07737015
3,4,7,7,0.08940499
3,4,3,11,0.101338744
3,4,3,11,0.10179758
3,4,3,3,0.09477928
3,3,3,11,0.10661327
3,4,3,3,0.093616046
3,4,3,3,0.09269024
3,4,7,7,0.08885317
0,0,0,0,0.0794131
0,0,0,8,0.07457767
0,0,7,7,0.08396994
0,0,7,7,0.08609927
0,0,7,0,0.08095617
0,0,7,0,0.083361454
3,3,6,11,0.11089506
0,5,0,8,0.07195323
0,5,4,4,0.06691458
3,4,3,3,0.093637854
3,4,3,3,0.094546616
3,4,7,7,0.08996344
0,0,0,8,0.076048784
0,5,0,8,0.07163415
3,4,7,7,0.087964
0,5,4,4,0.06444662
0,0,7,7,0.08535795
0,5,4,4,0.068730816
0,5,4,4,0.06803318
0,0,0,0,0.07924743
1,5,4,10,0.061777145
0,0,0,0,0.07892087
0,0,0,0,0.077157445
0,5,0,4,0.068979174
0,0,0,8,0.075506076
0,0,0,0,0.07885795
0,5,0,8,0.070937134
1,1,4,10,0.054501474
1,5,4,10,0.059306387
0,5,0,8,0.07098741
0,5,0,8,0.07059142
0,5,0,8,0.072134405
3,4,7,7,0.08718204
3,4,7,7,0.08833889
1,5,4,10,0.062054295
0,0,0,8,0.0733233
3,4,7,7,0.08962233
0,5,0,8,0.0699673
0,5,0,4,0.06959424
3,4,3,3,0.09513827
3,4,3,3,0.09931618
3,4,7,7,0.08769533
0,0,7,7,0.08622763
0,0,7,7,0.08544749
1,5,4,10,0.056200024
0,5,4,4,0.068379976
0,0,0,0,0.077845946
0,0,7,7,0.08406966
3,4,7,7,0.086709976
1,1,1,1,0.049433872
1,1,1,12,0.042442534
1,5,4,4,0.06304435
0,5,0,8,0.072240025
0,0,0,8,0.074121594
0,0,0,8,0.07288796
0,0,0,0,0.07794207
3,4,3,3,0.09378293
0,0,7,7,0.08378656
0,0,0,0,0.07943294
0,0,7,7,0.08543296
3,4,3,11,0.10217348
1,1,1,1,0.05354749
1,1,1,12,0.040573105
1,1,1,1,0.04423089
0,5,0,8,0.071570314
3,4,7,7,0.08859272
0,0,0,0,0.078918144
3,4,7,3,0.091287784
3,4,3,3,0.09905453
0,0,0,0,0.07660237
0,5,4,4,0.066733934
0,0,0,0,0.07874407
0,0,7,0,0.08183419
3,4,7,7,0.09011972
1,1,1,1,0.04818328
1,1,1,1,0.045257192
1,5,4,10,0.05861597
3,4,7,7,0.08934051
3,4,3,3,0.099731445
3,4,7,7,0.08701635
3,4,3,3,0.09366558
3,4,3,3,0.09438694
0,5,0,4,0.069322236
1,5,4,10,0.061122175
0,0,0,8,0.07653728
1,1,1,1,0.049332324
1,5,4,10,0.061306804
0,0,0,0,0.07957861
3,4,3,3,0.0973059
3,4,3,3,0.098985426
3,4,7,7,0.08871962
0,5,0,4,0.068932906
0,5,4,4,0.06490078
0,0,0,0,0.078946434
0,5,0,8,0.07177249
1,1,1,1,0.049869996
0,5,4,4,0.06579179
0,0,7,0,0.08300332
3,4,7,7,0.08787142
3,4,7,3,0.09137066
0,0,0,8,0.07579923
3,4,7,7,0.08892108
0,5,0,8,0.070033334
1,5,4,10,0.058389112
1,5,4,4,0.06434528
0,0,0,0,0.07795967
0,0,7,0,0.082057536
0,0,0,8,0.07544249
3,4,3,3,0.09194231
3,4,7,7,0.088989034
3,4,3,11,0.104077026
0,5,4,4,0.06857807
0,0,0,8,0.07369991
0,0,7,7,0.08584876
3,4,7,7,0.08706944
0,5,0,8,0.070900954
0,0,0,8,0.07608684
3,4,3,11,0.101484105
3,4,7,7,0.09016022
0,5,0,8,0.07224119
3,3,6,11,0.109440304
3,4,7,7,0.08823161
0,0,7,0,0.08187315
0,0,7,0,0.08172075
0,0,0,8,0.07440254
3,4,7,7,0.08752288
0,0,0,0,0.07941444
0,0,0,8,0.072700724
3,4,7,7,0.08771623
0,5,0,8,0.07007305
1,1,1,1,0.051758334
1,5,4,10,0.05647355
3,4,3,3,0.095439136
3,4,7,7,0.0909974
0,0,7,0,0.08054687
0,5,4,4,0.066772796
0,0,0,8,0.07536273
0,0,0,8,0.07316608
0,0,7,0,0.08269431
0,0,7,7,0.08451209
0,0,0,8,0.07243083
0,5,4,4,0.06733681
1,5,4,10,0.056269623
0,5,4,4,0.06735694
0,0,0,8,0.07358202
0,5,0,4,0.06974605
0,0,0,8,0.07578565
3,4,3,3,0.09278927
0,0,0,0,0.079348825
0,0,0,0,0.0791756
3,4,7,7,0.0868298
0,0,0,8,0.075811446
0,5,0,4,0.068785995
1,1,1,12,0.035601754
1,1,1,12,0.025984406
1,1,1,12,0.036122132
1,5,4,10,0.060389984
0,0,0,0,0.07852579
3,4,7,7,0.089574
3,4,3,3,0.09936182
0,0,0,0,0.07921085
0,0,0,8,0.0728596
0,0,7,7,0.084308796
0,0,7,0,0.083577745
1,5,4,4,0.064281866
1,1,1,12,0.03790298
1,1,1,12,0.037764143
1,1,1,1,0.043679763
0,0,0,8,0.07569143
3,4,3,3,0.09417937
0,0,7,7,0.08606371
3,4,3,11,0.10068865
0,0,0,0,0.07871274
0,5,0,8,0.07077721
0,0,7,0,0.08106939
3,4,7,7,0.08802977
0,5,4,4,0.06674425
1,1,1,1,0.0473037
1,5,4,10,0.05613222
1,5,4,10,0.06220659
3,4,7,7,0.08687743
3,4,3,3,0.09757295
3,4,3,3,0.092262894
3,4,3,11,0.100669
0,0,7,0,0.082908794
0,0,0,8,0.074369475
0,0,7,7,0.08501921
0,5,0,8,0.07010121
1,1,4,1,0.05401009
0,5,4,4,0.06799936
0,0,0,8,0.07611427
3,4,7,7,0.0867692
3,4,7,7,0.08892232
3,4,3,3,0.09328664
3,4,3,11,0.100879185
3,4,7,3,0.09129092
1,5,4,10,0.061000228
0,5,4,4,0.06708369
0,0,0,8,0.073603764
0,0,0,0,0.07948407
0,0,0,0,0.07741662
3,4,3,3,0.09882986
3,4,7,7,0.08843575
0,0,7,0,0.08334703
0,5,0,8,0.07222054
0,0,7,0,0.081356764
3,4,3,11,0.10037282
3,4,3,3,0.097745165
3,3,6,11,0.10970707
0,0,0,8,0.07607705
0,0,7,0,0.08174237
3,4,3,3,0.09786087
3,4,7,7,0.087690346
0,0,7,0,0.08093289
3,4,3,11,0.10412371
3,4,3,3,0.09617542
0,5,0,8,0.07192947
0,0,0,0,0.0786325
0,5,4,4,0.06512712
3,3,6,11,0.1073707
0,0,0,0,0.07690744
1,5,4,4,0.06373435
0,5,0,8,0.07178383
0,0,7,0,0.082881026
1,5,4,10,0.056605745
1,1,1,1,0.048350234
3,4,7,3,0.091660574
3,4,3,3,0.097133376
3,4,7,7,0.08874957
0,0,7,0,0.0810543
0,5,4,4,0.067210115
0,0,0,8,0.0749712
0,5,0,8,0.07148104
0,0,0,0,0.076968834
0,0,0,0,0.08029927
0,0,0,8,0.07335556
