cluster_4,cluster_6,cluster_8,cluster_13,X,Y,Z,Gas6-72008122
1,5,4,10,53,25,18,0.06130261
3,3,3,11,63,34,18,0.10602468
0,5,0,8,53,25,19,0.07155491
0,0,7,0,53,26,19,0.081971936
0,0,0,0,62,33,19,0.07851669
0,0,0,0,53,25,20,0.07737015
3,4,7,7,53,26,20,0.08940499
3,4,3,11,53,27,20,0.101338744
3,4,3,11,53,28,20,0.10179758
3,4,3,3,62,28,20,0.09477928
3,3,3,11,53,29,20,0.10661327
3,4,3,3,62,29,20,0.093616046
3,4,3,3,63,29,20,0.09269024
3,4,7,7,64,29,20,0.08885317
0,0,0,0,54,30,20,0.0794131
0,0,0,8,55,30,20,0.07457767
0,0,7,7,59,30,20,0.08396994
0,0,7,7,62,30,20,0.08609927
0,0,7,0,63,30,20,0.08095617
0,0,7,0,64,30,20,0.083361454
3,3,6,11,53,31,20,0.11089506
0,5,0,8,54,31,20,0.07195323
0,5,4,4,55,31,20,0.06691458
3,4,3,3,57,31,20,0.093637854
3,4,3,3,58,31,20,0.094546616
3,4,7,7,59,31,20,0.08996344
0,0,0,8,62,31,20,0.076048784
0,5,0,8,63,31,20,0.07163415
3,4,7,7,53,32,20,0.087964
0,5,4,4,54,32,20,0.06444662
0,0,7,7,59,32,20,0.08535795
0,5,4,4,62,32,20,0.068730816
0,5,4,4,63,32,20,0.06803318
0,0,0,0,53,33,20,0.07924743
1,5,4,10,55,33,20,0.061777145
0,0,0,0,58,33,20,0.07892087
0,0,0,0,59,33,20,0.077157445
0,5,0,4,62,33,20,0.068979174
0,0,0,8,63,33,20,0.075506076
0,0,0,0,64,33,20,0.07885795
0,5,0,8,53,34,20,0.070937134
1,1,4,10,54,34,20,0.054501474
1,5,4,10,55,34,20,0.059306387
0,5,0,8,56,34,20,0.07098741
0,5,0,8,58,34,20,0.07059142
0,5,0,8,59,34,20,0.072134405
3,4,7,7,60,34,20,0.08718204
3,4,7,7,63,34,20,0.08833889
1,5,4,10,54,35,20,0.062054295
0,0,0,8,55,35,20,0.0733233
3,4,7,7,56,35,20,0.08962233
0,5,0,8,58,35,20,0.0699673
0,5,0,4,59,35,20,0.06959424
3,4,3,3,53,26,21,0.09513827
3,4,3,3,53,27,21,0.09931618
3,4,7,7,60,27,21,0.08769533
0,0,7,7,62,27,21,0.08622763
0,0,7,7,64,27,21,0.08544749
1,5,4,10,54,28,21,0.056200024
0,5,4,4,60,28,21,0.068379976
0,0,0,0,61,28,21,0.077845946
0,0,7,7,62,28,21,0.08406966
3,4,7,7,64,28,21,0.086709976
1,1,1,1,54,29,21,0.049433872
1,1,1,12,55,29,21,0.042442534
1,5,4,4,56,29,21,0.06304435
0,5,0,8,57,29,21,0.072240025
0,0,0,8,58,29,21,0.074121594
0,0,0,8,59,29,21,0.07288796
0,0,0,0,60,29,21,0.07794207
3,4,3,3,61,29,21,0.09378293
0,0,7,7,62,29,21,0.08378656
0,0,0,0,63,29,21,0.07943294
0,0,7,7,64,29,21,0.08543296
3,4,3,11,53,30,21,0.10217348
1,1,1,1,54,30,21,0.05354749
1,1,1,12,55,30,21,0.040573105
1,1,1,1,56,30,21,0.04423089
0,5,0,8,57,30,21,0.071570314
3,4,7,7,58,30,21,0.08859272
0,0,0,0,59,30,21,0.078918144
3,4,7,3,60,30,21,0.091287784
3,4,3,3,61,30,21,0.09905453
0,0,0,0,62,30,21,0.07660237
0,5,4,4,63,30,21,0.066733934
0,0,0,0,64,30,21,0.07874407
0,0,7,0,65,30,21,0.08183419
3,4,7,7,53,31,21,0.09011972
1,1,1,1,54,31,21,0.04818328
1,1,1,1,55,31,21,0.045257192
1,5,4,10,56,31,21,0.05861597
3,4,7,7,57,31,21,0.08934051
3,4,3,3,58,31,21,0.099731445
3,4,7,7,59,31,21,0.08701635
3,4,3,3,60,31,21,0.09366558
3,4,3,3,61,31,21,0.09438694
0,5,0,4,62,31,21,0.069322236
1,5,4,10,63,31,21,0.061122175
0,0,0,8,53,32,21,0.07653728
1,1,1,1,54,32,21,0.049332324
1,5,4,10,55,32,21,0.061306804
0,0,0,0,56,32,21,0.07957861
3,4,3,3,57,32,21,0.0973059
3,4,3,3,58,32,21,0.098985426
3,4,7,7,59,32,21,0.08871962
0,5,0,4,62,32,21,0.068932906
0,5,4,4,63,32,21,0.06490078
0,0,0,0,64,32,21,0.078946434
0,5,0,8,53,33,21,0.07177249
1,1,1,1,54,33,21,0.049869996
0,5,4,4,55,33,21,0.06579179
0,0,7,0,56,33,21,0.08300332
3,4,7,7,58,33,21,0.08787142
3,4,7,3,61,33,21,0.09137066
0,0,0,8,63,33,21,0.07579923
3,4,7,7,64,33,21,0.08892108
0,5,0,8,53,34,21,0.070033334
1,5,4,10,54,34,21,0.058389112
1,5,4,4,55,34,21,0.06434528
0,0,0,0,56,34,21,0.07795967
0,0,7,0,57,34,21,0.082057536
0,0,0,8,58,34,21,0.07544249
3,4,3,3,61,34,21,0.09194231
3,4,7,7,63,34,21,0.088989034
3,4,3,11,64,34,21,0.104077026
0,5,4,4,54,35,21,0.06857807
0,0,0,8,55,35,21,0.07369991
0,0,7,7,56,35,21,0.08584876
3,4,7,7,57,35,21,0.08706944
0,5,0,8,58,35,21,0.070900954
0,0,0,8,59,35,21,0.07608684
3,4,3,11,60,35,21,0.101484105
3,4,7,7,61,35,21,0.09016022
0,5,0,8,58,36,21,0.07224119
3,3,6,11,54,26,22,0.109440304
3,4,7,7,62,26,22,0.08823161
0,0,7,0,53,27,22,0.08187315
0,0,7,0,54,27,22,0.08172075
0,0,0,8,55,27,22,0.07440254
3,4,7,7,59,27,22,0.08752288
0,0,0,0,61,27,22,0.07941444
0,0,0,8,62,27,22,0.072700724
3,4,7,7,64,27,22,0.08771623
0,5,0,8,53,28,22,0.07007305
1,1,1,1,54,28,22,0.051758334
1,5,4,10,55,28,22,0.05647355
3,4,3,3,56,28,22,0.095439136
3,4,7,7,58,28,22,0.0909974
0,0,7,0,59,28,22,0.08054687
0,5,4,4,60,28,22,0.066772796
0,0,0,8,61,28,22,0.07536273
0,0,0,8,62,28,22,0.07316608
0,0,7,0,63,28,22,0.08269431
0,0,7,7,64,28,22,0.08451209
0,0,0,8,65,28,22,0.07243083
0,5,4,4,53,29,22,0.06733681
1,5,4,10,56,29,22,0.056269623
0,5,4,4,57,29,22,0.06735694
0,0,0,8,58,29,22,0.07358202
0,5,0,4,59,29,22,0.06974605
0,0,0,8,60,29,22,0.07578565
3,4,3,3,61,29,22,0.09278927
0,0,0,0,62,29,22,0.079348825
0,0,0,0,63,29,22,0.0791756
3,4,7,7,64,29,22,0.0868298
0,0,0,8,65,29,22,0.075811446
0,5,0,4,53,30,22,0.068785995
1,1,1,12,54,30,22,0.035601754
1,1,1,12,55,30,22,0.025984406
1,1,1,12,56,30,22,0.036122132
1,5,4,10,57,30,22,0.060389984
0,0,0,0,58,30,22,0.07852579
3,4,7,7,60,30,22,0.089574
3,4,3,3,61,30,22,0.09936182
0,0,0,0,62,30,22,0.07921085
0,0,0,8,63,30,22,0.0728596
0,0,7,7,64,30,22,0.084308796
0,0,7,0,65,30,22,0.083577745
1,5,4,4,53,31,22,0.064281866
1,1,1,12,54,31,22,0.03790298
1,1,1,12,55,31,22,0.037764143
1,1,1,1,56,31,22,0.043679763
0,0,0,8,57,31,22,0.07569143
3,4,3,3,58,31,22,0.09417937
0,0,7,7,59,31,22,0.08606371
3,4,3,11,61,31,22,0.10068865
0,0,0,0,62,31,22,0.07871274
0,5,0,8,63,31,22,0.07077721
0,0,7,0,64,31,22,0.08106939
3,4,7,7,65,31,22,0.08802977
0,5,4,4,53,32,22,0.06674425
1,1,1,1,54,32,22,0.0473037
1,5,4,10,55,32,22,0.05613222
1,5,4,10,56,32,22,0.06220659
3,4,7,7,57,32,22,0.08687743
3,4,3,3,58,32,22,0.09757295
3,4,3,3,59,32,22,0.092262894
3,4,3,11,60,32,22,0.100669
0,0,7,0,62,32,22,0.082908794
0,0,0,8,63,32,22,0.074369475
0,0,7,7,64,32,22,0.08501921
0,5,0,8,53,33,22,0.07010121
1,1,4,1,54,33,22,0.05401009
0,5,4,4,55,33,22,0.06799936
0,0,0,8,56,33,22,0.07611427
3,4,7,7,57,33,22,0.0867692
3,4,7,7,58,33,22,0.08892232
3,4,3,3,59,33,22,0.09328664
3,4,3,11,60,33,22,0.100879185
3,4,7,3,64,33,22,0.09129092
1,5,4,10,54,34,22,0.061000228
0,5,4,4,55,34,22,0.06708369
0,0,0,8,56,34,22,0.073603764
0,0,0,0,57,34,22,0.07948407
0,0,0,0,58,34,22,0.07741662
3,4,3,3,60,34,22,0.09882986
3,4,7,7,63,34,22,0.08843575
0,0,7,0,57,35,22,0.08334703
0,5,0,8,58,35,22,0.07222054
0,0,7,0,59,35,22,0.081356764
3,4,3,11,60,35,22,0.10037282
3,4,3,3,61,35,22,0.097745165
3,3,6,11,57,36,22,0.10970707
0,0,0,8,58,36,22,0.07607705
0,0,7,0,59,36,22,0.08174237
3,4,3,3,60,36,22,0.09786087
3,4,7,7,61,36,22,0.087690346
0,0,7,0,58,37,22,0.08093289
3,4,3,11,54,25,23,0.10412371
3,4,3,3,54,26,23,0.09617542
0,5,0,8,63,26,23,0.07192947
0,0,0,0,54,27,23,0.0786325
0,5,4,4,55,27,23,0.06512712
3,3,6,11,56,27,23,0.1073707
0,0,0,0,61,27,23,0.07690744
1,5,4,4,62,27,23,0.06373435
0,5,0,8,63,27,23,0.07178383
0,0,7,0,64,27,23,0.082881026
1,5,4,10,54,28,23,0.056605745
1,1,1,1,55,28,23,0.048350234
3,4,7,3,56,28,23,0.091660574
3,4,3,3,57,28,23,0.097133376
3,4,7,7,58,28,23,0.08874957
0,0,7,0,59,28,23,0.0810543
0,5,4,4,60,28,23,0.067210115
0,0,0,8,61,28,23,0.0749712
0,5,0,8,62,28,23,0.07148104
0,0,0,0,63,28,23,0.076968834
0,0,0,0,64,28,23,0.08029927
0,0,0,8,65,28,23,0.07335556
1,1,1,1,53,29,23,0.049217667
1,1,1,12,54,29,23,0.037410513
1,1,1,12,55,29,23,0.029830031
