Phyhipl-544326,Gpm6b-544520,Rap1gds1-654924,Gabarapl1-654925,Ugt8a-655116,Oxct1-655499,Atp6v1e1-655501,Uqcrc2-655502,Serinc1-67752306,Matr3-67752309,BC005624-67936203,Eef2-67936204,Itm2c-67936207,Pcbp4-67936208,Ache-70301082,Nrxn1-70301083,Tmem132a-70436749,Heatr5b-70560265,Ank1-70560276,Tuba4a-70616005,Prkar1b-70616006,Lrrc49-70634108,Fbxo21-70634119,Pnpo-70743879,Tmem66-70743884,Dlat-70743896,Atp11b-70744324,Osbpl6-70744325,Ivns1abp-70813898,Tppp3-70813926,Ckb-70927826,Stx12-70928169,Dbn1-70928198,Car4-70928238,Gap43-70928270,Pea15a-70928292,Rtn1-70928293,Endod1-71015195,Pdia3-71015817,Stmn1-71016595,Fstl1-71016596,Setd7-71016630,Synj2-71064267,Gria3-71247616,Grm4-71247631,Ube2ql1-71249083,Ahsa2-71358552,Rasgef1b-71358553,Lgi1-71670484,Hapln4-71717078,Mest-71717082,Fam190a-71717144,Olfm2-71717155,Dnajb1-71836748,Tmx2-71836805,Acsl6-71836810,BC018242-71836832,Trp53bp1-71836834,Ppp2ca-71836836,Atp1a1-71836844,Maged2-71836892,Ehd3-71836903,Vgf-71924165,Uqcrfs1-71924399,Erp29-72007751,Sulf2-72007935,Gas6-72008122,Coro2b-72077454,Schip1-72077455,Nap1l5-72080123,Appl2-72080165,Trnp1-72080175,Slc9a1-72080207,Gsn-72081395,Scarb2-72081482,Gnao1-72081553,Car2-72103831,Nell2-72103854,Cux2-72128748,Hs6st2-72129255,Chd5-72283806,Amph-72340233,Gfra2-72472805,Gnai1-72472806,TC1410973-73512191,LOC434631-73512348,Aldoc-73512352,Tmsb10-73521810,Pcdh17-73636095,Agpat4-73718048,Scg3-73718057,Pnkd-73769326,Sparc-73788443,Ube2k-73817935,Rufy3-73817983,Ssx2ip-73817985,Syn2-73929870,Serpine2-74047768,D16H22S680E-74047888,Cd34-74047898,Hspa12a-74047899,Glul-74047918,Podxl2-74047921,Cryab-74357575,Soat2-74425515,Atat1-74425517,Dynlt3-74425518,Ilf3-74425549,Daam2-74511880,Sorl1-74511924,Tmem145-74511987,LOC434002-74581371,Hsbp1-74581381,Pltp-74581394,Sh3gl2-74581397,Eid1-74583118,Sirpa-74583151,Dnm3-74641219,Atp6v1a-74641315,Micu1-74658238,Exoc4-74658239,Psmd11-74743282,Ptpn5-74743293,Tom1l2-74749970,Ptdss1-74800904,Ndufs2-74818622,Hdlbp-74819232,Scd2-74819250,Atp1b2-74819255,Arl2-74819344,Tubb2a-74819689,Atp1a3-74881263,Actb-74881516,Ppp2r2c-74882698,Scd3-74882915,Slitrk1-74882937,Usp22-74957911,Vdac1-74957912,8030498B09Rik-74958606,Ccni-74988529,Eif1ax-74988539,Tcea2-74988737,Ubtf-74988738,5730409E04Rik-74988752,Lonrf2-74988755,A230097P14Rik*-75042236,A530057D15Rik*-75042238,Nrxn3-75042240,Qdpr-75042261,Acsl3-75042266,Tceb3-75043141,Slc38a1-75043149,Prkacb-75043158,Bnip3-75077193,Dpp6-75077203,9530085C10Rik*-75080269,Tspan2-75144618,Pip4k2a-75146004,Mpnd-75146005,Haghl-75259440,Grik5-75551459,Gria2-75551462,Vat1l-75650860,Scg5-75773511,Npc2-75774115,Rpn1-75774675,Dync1li1-75774684,Cyp51-75934914,Capns1-75934915,Ank-75934916,Serinc5-77278973,E330014M11Rik*-77280559,Fbxo44-77340498,Osbpl9-77371759,Ndufv2-77371763,Cnp-77371841,Arf1-77414125,Pea15a-77414654,Gaa-77869861,Inpp5j-77869865,Psg16-77887858,Csdc2-77887884,Cnp-79488913,Apoe-79490110,Pfkp-79490112,Clu-79490114,Aldoc-79556636,Pvr-79556654,Uchl1-79556674,Mtmr7-79567753,Limk1-79908802,Park7-112194293,Eno2-112197625
0.08592873,0.051862825,0.13597558,0.124815464,0.02310654,0.031350497,0.1156504,0.096807875,0.14882961,0.10404781,0.038559794,0.024489947,0.0567058,0.08103831,0.07470246,0.062656134,0.093710035,0.13505712,0.08717955,0.07463012,0.136115,0.09047309,0.09358101,0.034872,0.0643879,0.06634387,0.03781923,0.031602442,0.033258237,0.06405767,0.14107588,0.09222082,0.076551326,0.044419218,0.03647805,0.064931035,0.14688268,0.060817763,0.084809296,0.041688256,0.04336188,0.06902451,0.032353595,0.029834656,0.04085415,0.03951414,0.050482463,0.044064656,0.0403576,0.07461253,0.047421876,0.023324115,0.072923355,0.052492466,0.13390903,0.09663441,0.070974715,0.058882065,0.072526045,0.075495504,0.03455216,0.027912889,0.0626599,0.077876404,0.041943282,0.051189017,0.06130261,0.041625608,0.052802064,0.11534624,0.027943717,0.042581487,0.062743254,0.066941395,0.08801159,0.11064091,0.10193462,0.05756438,0.043686084,0.07767519,0.04853466,0.083811715,0.044251658,0.036108546,0.07952745,0.06701992,0.038575646,0.056652933,0.03454425,0.04698126,0.082230754,0.04596149,0.0651609,0.0685374,0.109640546,0.031693842,0.05237938,0.04854797,0.04110854,0.09630608,0.04850564,0.11203992,0.06142242,0.060068544,0.03312329,0.051357355,0.06611893,0.03808803,0.06611345,0.098210245,0.03666506,0.11571011,0.06306615,0.071178794,0.13427651,0.04666537,0.037214734,0.05963043,0.07445617,0.06692529,0.03820232,0.068556204,0.043285318,0.071104735,0.021389963,0.11487679,0.08341537,0.12655954,0.09136468,0.017596116,0.13261557,0.124923214,0.15061583,0.081347466,0.105748564,0.04103555,0.06181074,0.1155862,0.1819843,0.048279807,0.04845213,0.052319888,0.07557505,0.02709364,0.04733263,0.039254375,0.049311608,0.0130748255,0.11027013,0.088073075,0.026149431,0.05031508,0.029101875,0.08657919,0.09447477,0.10968109,0.082529165,0.06392988,0.02960746,0.084068045,0.051393118,0.10151126,0.044178583,0.10640427,0.036333334,0.054756448,0.065244295,0.042800047,0.09907556,0.10059971,0.037503064,0.05537314,0.041457962,0.054201346,0.097360745,0.108937465,0.06825519,0.048194967,0.07544095,0.039910503,0.09164264,0.0381854,0.10002675,0.12575375,0.11162978,0.12031482,0.089531444,0.101527944,0.09504197,0.051249262,0.07357667,0.068523854,0.16111967
0.0168559,0.040286377,0.079712145,0.11482785,0.052192237,0.04331809,0.02544717,0.014030971,0.16714886,0.14780208,0.014325552,0.0156030785,0.012509225,0.015771689,0.04744049,0.047757454,0.113480076,0.076057084,0.019396637,0.051203936,0.09572217,0.024052832,0.04518894,0.030443734,0.047636133,0.020691294,0.03543516,0.04686034,0.028260063,0.104919314,0.03403787,0.019468691,0.04709215,0.01348475,0.059843678,0.039233856,0.09189228,0.07212079,0.01746832,0.040969655,0.03963966,0.04654164,0.02033439,0.07236626,0.03598149,0.015203009,0.028314756,0.028682899,0.040794138,0.044232678,0.017790388,0.034738444,0.057221394,0.016901836,0.15684365,0.042843193,0.07925765,0.060561724,0.08163488,0.03917523,0.04812043,0.03955792,0.06408906,0.06604321,0.051933277,0.05465841,0.10602468,0.03473111,0.03307066,0.1367081,0.038830608,0.066983394,0.06002628,0.07835585,0.036831442,0.12635008,0.07003831,0.014250219,0.05424083,0.081643105,0.06347676,0.0843959,0.03220517,0.01730358,0.049407545,0.0356304,0.021022256,0.027373092,0.053222716,0.04364746,0.019434428,0.041218277,0.059359446,0.052194607,0.06752587,0.024175432,0.03892766,0.02209947,0.06967874,0.05036349,0.055421147,0.11376664,0.06550717,0.08032633,0.059257485,0.05290596,0.042687494,0.10334084,0.058213275,0.070283286,0.04919312,0.15123892,0.077002384,0.051517732,0.09315501,0.016181037,0.06444163,0.030203179,0.06312755,0.029352158,0.02537111,0.053136066,0.073300555,0.09992437,0.02499093,0.107215874,0.081578165,0.08323724,0.037129898,0.031337988,0.08820858,0.04905028,0.12459695,0.048784252,0.058793217,0.027149774,0.061854325,0.11406144,0.069431126,0.048941232,0.04720586,0.042314336,0.0789317,0.024295477,0.040783312,0.016989063,0.020760968,0.023451393,0.072573096,0.082825445,0.043686178,0.03883485,0.03419973,0.09786428,0.17681634,0.14177969,0.042342916,0.06382994,0.032865804,0.051398996,0.046861142,0.07426483,0.07999616,0.16918953,0.027756553,0.076211974,0.06883545,0.05731488,0.03265778,0.031607043,0.028063616,0.03153826,0.014152853,0.046749707,0.07682781,0.051725823,0.062301632,0.026445929,0.0686146,0.016403353,0.041040417,0.027337382,0.05187957,0.08457067,0.06582501,0.08720412,0.065380245,0.0434789,0.04650909,0.03817133,0.037063587,0.053552866,0.010866458
0.08330823,0.05274939,0.12440361,0.12139716,0.031694174,0.05148736,0.1320647,0.11070178,0.15735216,0.09809925,0.07013108,0.027365286,0.088889614,0.08662135,0.08538877,0.0615293,0.07070068,0.12633066,0.0745448,0.09248558,0.13522917,0.085480995,0.08738298,0.049109288,0.084157944,0.058703028,0.043178853,0.051992077,0.034737904,0.06714391,0.15314871,0.07871294,0.0794867,0.046368744,0.0758574,0.07548037,0.14364833,0.07927547,0.08734009,0.054932557,0.06441351,0.055032443,0.029572494,0.056269467,0.04717174,0.044747762,0.060772493,0.03846071,0.041453544,0.068090804,0.049936008,0.036718767,0.09117809,0.063449994,0.121725604,0.11056205,0.0790442,0.07900878,0.10092172,0.07828608,0.05285503,0.03496465,0.06897306,0.08721753,0.06306519,0.055284426,0.07155491,0.040818464,0.046504375,0.11543063,0.02913185,0.044400964,0.060237702,0.061795156,0.09599278,0.11565798,0.10449816,0.06372503,0.04186236,0.07265261,0.069398805,0.09425889,0.05197426,0.04536508,0.0829239,0.06458529,0.0491267,0.0735544,0.04368124,0.04228418,0.077603936,0.073456995,0.07065332,0.06566814,0.12579235,0.03882306,0.059641078,0.05167909,0.041610327,0.0945942,0.05271316,0.113506995,0.09089639,0.0591479,0.041417588,0.057120293,0.071084134,0.041474007,0.063660786,0.10178986,0.041141193,0.12615769,0.065169536,0.06104916,0.108354,0.05863879,0.04828612,0.06911868,0.08516991,0.07158811,0.043404493,0.0747797,0.05192012,0.06911364,0.029152228,0.11826313,0.07418061,0.12710053,0.09269736,0.030218538,0.13729994,0.10322962,0.13760318,0.0697597,0.111190565,0.051724166,0.07364808,0.11900277,0.16919276,0.074906655,0.05282065,0.05756697,0.06951413,0.039561834,0.07019282,0.048374504,0.05597852,0.017580178,0.112942725,0.0959823,0.023977209,0.05200194,0.036961857,0.08865616,0.10054995,0.13316412,0.08339769,0.063892126,0.035154488,0.07597005,0.051110413,0.086779475,0.053954728,0.14051756,0.03903755,0.08131129,0.06649638,0.048599426,0.093726225,0.09400224,0.038199916,0.067963555,0.045741163,0.046683203,0.102195606,0.11041429,0.06573463,0.06700574,0.08704463,0.04781932,0.091430604,0.039495215,0.09684648,0.11946058,0.10742081,0.113084346,0.10163367,0.11353538,0.110368825,0.056172892,0.08150696,0.07435847,0.14629334
0.08853852,0.050701138,0.11499083,0.11505911,0.036474425,0.058804415,0.12741563,0.10663998,0.14962588,0.08785274,0.08323641,0.031042604,0.0971162,0.09627158,0.07952414,0.056613766,0.06841652,0.12296076,0.07040418,0.09653889,0.13031955,0.0893108,0.08882814,0.052582048,0.071859404,0.063181244,0.036019642,0.05887944,0.039669223,0.053140428,0.15530272,0.07175451,0.0717783,0.051740225,0.058033887,0.059433423,0.13506086,0.07641209,0.08536709,0.040554047,0.084993616,0.051067654,0.028454524,0.06109097,0.046225745,0.048091162,0.056505,0.042402275,0.040564187,0.070027664,0.04934119,0.04213711,0.08037681,0.07230337,0.12672143,0.121490374,0.07036858,0.07994729,0.100321665,0.08537965,0.055398736,0.03471612,0.06440242,0.09453661,0.052970923,0.055994254,0.081971936,0.03541149,0.048724554,0.10779235,0.02976395,0.049016606,0.06535118,0.06133665,0.09061814,0.114279844,0.11376309,0.093618155,0.046064083,0.0730983,0.06615717,0.086482845,0.055311285,0.051692806,0.068471044,0.06349991,0.042318992,0.06364988,0.03352002,0.03833418,0.07946101,0.09696208,0.058709353,0.06686728,0.11840106,0.037891727,0.06060478,0.053440142,0.051972434,0.09694515,0.06388973,0.110786214,0.08329011,0.071234554,0.05083753,0.0531542,0.07813385,0.03827725,0.06338528,0.10299573,0.045360386,0.12862287,0.069035865,0.061531216,0.105460435,0.06153529,0.04864044,0.075851135,0.092362046,0.08501452,0.043457206,0.07473614,0.050870717,0.06926289,0.032203186,0.11460047,0.07777108,0.13707575,0.09418958,0.04108627,0.13065772,0.10362447,0.13135976,0.069125995,0.11232736,0.042246904,0.06799275,0.11737451,0.16835758,0.08147704,0.051425513,0.051315237,0.06554109,0.04379068,0.059342336,0.043957416,0.053860914,0.019148706,0.11279677,0.09286077,0.023102786,0.054645654,0.032629777,0.09003756,0.106055774,0.14809076,0.08029006,0.06858346,0.032947566,0.077251874,0.043981683,0.07789955,0.03220146,0.14237553,0.034618698,0.08287984,0.078229405,0.04523526,0.09368532,0.08691585,0.036175735,0.07564582,0.051031366,0.050484855,0.099843256,0.10838552,0.07604408,0.04388495,0.082526796,0.052736875,0.074708514,0.036556665,0.0952101,0.10726523,0.11634115,0.103155926,0.09284915,0.10540982,0.11532358,0.051836424,0.08124581,0.07553229,0.15610288
0.09315198,0.056946997,0.14071603,0.16339457,0.061534014,0.084728636,0.09070765,0.090577535,0.17138791,0.13045846,0.11238559,0.117389396,0.11379543,0.12131713,0.1160146,0.102167465,0.08069168,0.1260081,0.062401135,0.0903489,0.15531905,0.08242585,0.10097435,0.054587614,0.08610334,0.043464802,0.051238384,0.06298418,0.057324283,0.09845735,0.12042175,0.07286294,0.090493865,0.032717753,0.07520009,0.03927598,0.14478983,0.096200705,0.0798698,0.027130771,0.050110802,0.07505035,0.044799767,0.08402785,0.07329452,0.055218473,0.06190459,0.051356114,0.10691333,0.09698083,0.047871657,0.06623915,0.085082404,0.06178363,0.13586669,0.13321999,0.07868277,0.06664086,0.09708638,0.100639336,0.07972475,0.06699847,0.11333649,0.06485165,0.075541854,0.05243335,0.07851669,0.04549181,0.073298916,0.15739045,0.046750065,0.08636515,0.07832817,0.07638249,0.09292346,0.111031,0.11156841,0.05258388,0.038447987,0.08741893,0.08723665,0.07903271,0.034349564,0.042610675,0.09489463,0.061838266,0.02861513,0.0773203,0.054619525,0.048849363,0.08946137,0.117531486,0.06377399,0.082874246,0.14963293,0.053572923,0.059276093,0.043938946,0.076534376,0.03261104,0.06675194,0.15374066,0.11548334,0.09228252,0.07612842,0.04150742,0.08080449,0.07568975,0.0860332,0.10298648,0.044926085,0.14844917,0.09227384,0.057096247,0.1337214,0.08882602,0.06748402,0.09614137,0.09064844,0.05916928,0.050209146,0.059577707,0.06136052,0.08862449,0.048687436,0.11769035,0.1136498,0.13128473,0.12309978,0.04305502,0.16708325,0.11922561,0.1751457,0.110176705,0.13356417,0.04997437,0.06781957,0.1242638,0.19121297,0.0874298,0.07943213,0.05298272,0.10244786,0.064906895,0.06470926,0.057116136,0.06754293,0.04838001,0.116527565,0.112703666,0.059874866,0.06424514,0.05115114,0.10642254,0.13820912,0.14547552,0.081824176,0.07795405,0.03221991,0.08440255,0.06693002,0.10441518,0.06547521,0.13352962,0.06706848,0.0881879,0.0647418,0.08305295,0.12074123,0.10752775,0.039731998,0.08242662,0.07110543,0.06508929,0.12292542,0.12509032,0.09070097,0.02707207,0.092432864,0.038283296,0.11234491,0.049680024,0.15657769,0.0940247,0.11780452,0.12780777,0.12206985,0.123381086,0.18244824,0.06085627,0.08469901,0.11556965,0.09713324
0.0844997,0.05330943,0.12050198,0.11906454,0.040405933,0.058315765,0.12657095,0.101258375,0.15160848,0.094400585,0.10781159,0.044217844,0.08724204,0.08352311,0.08928557,0.057678044,0.057598807,0.1363914,0.06514764,0.11105856,0.15415828,0.08490292,0.08464084,0.05564295,0.091825776,0.0555861,0.049427446,0.048847802,0.0345698,0.06485476,0.14690982,0.07124763,0.08335879,0.045518808,0.108489536,0.086642414,0.14726569,0.073558904,0.10562909,0.061160985,0.060412463,0.050315384,0.031126551,0.07051828,0.06105287,0.041915614,0.06338307,0.03635287,0.04606657,0.06746937,0.052099675,0.03960929,0.101717986,0.067081794,0.12724607,0.10668904,0.08072205,0.08520086,0.10949086,0.11212046,0.0656988,0.04788904,0.0772119,0.09145083,0.06442739,0.055297967,0.07737015,0.031142063,0.0416535,0.11760348,0.0348121,0.0445771,0.06410812,0.06493199,0.0993748,0.1241722,0.10536718,0.060570087,0.04215842,0.07595919,0.07518801,0.07493739,0.058290523,0.05390791,0.08530859,0.065869376,0.053388845,0.09657611,0.04525933,0.042973436,0.063343726,0.0900086,0.068111524,0.07451638,0.12535499,0.052331172,0.08058515,0.04780939,0.04719217,0.096308015,0.06764662,0.113515936,0.109289244,0.06404791,0.051554125,0.06056303,0.07969206,0.045441203,0.06416265,0.10735069,0.04230095,0.13261144,0.06735468,0.06161834,0.09865911,0.053805176,0.053307485,0.07419056,0.08889207,0.073835105,0.054814097,0.08076074,0.057701446,0.067948,0.04175676,0.10604632,0.08420358,0.13943957,0.0964412,0.048323143,0.15796944,0.10850598,0.14651774,0.06868995,0.12156349,0.05878167,0.06360616,0.10192826,0.15236917,0.067194186,0.046216685,0.059668195,0.068604045,0.045017928,0.07822038,0.0489173,0.05697143,0.02601897,0.11421844,0.09658379,0.024117857,0.05478795,0.04687988,0.10337047,0.10732384,0.12834351,0.08410679,0.068196245,0.041372664,0.07572004,0.056336295,0.08802561,0.060612928,0.125957,0.043464366,0.08470271,0.070917085,0.054449156,0.119676605,0.10769768,0.03708584,0.077842236,0.04617286,0.047165867,0.113845125,0.110445075,0.07285511,0.07904499,0.08384287,0.047639847,0.08985045,0.03981714,0.09754511,0.11790253,0.098013684,0.10396057,0.109730646,0.12046105,0.12634292,0.05340068,0.07234234,0.07986896,0.13245048
0.0873509,0.051889967,0.12294784,0.11766671,0.042160604,0.061455306,0.12242515,0.0963949,0.13890083,0.08312714,0.10498786,0.038000017,0.09182544,0.09158963,0.090703934,0.055018257,0.05436139,0.12033343,0.06844611,0.1156739,0.14969832,0.088022545,0.08683627,0.055447783,0.08122699,0.06323455,0.044138573,0.05481925,0.037409097,0.051522337,0.14461233,0.070843756,0.07485521,0.050898373,0.07828198,0.07593217,0.13907856,0.07669953,0.10326566,0.038212147,0.07411148,0.050065316,0.032219492,0.0769422,0.058456384,0.0432722,0.06216912,0.043099638,0.04530503,0.070061155,0.062344372,0.042578273,0.094753884,0.07010412,0.12531078,0.11060875,0.0773318,0.07972752,0.09849285,0.11793935,0.06794474,0.05113536,0.08037889,0.10040444,0.06118745,0.057882655,0.08940499,0.036231957,0.038657717,0.117070645,0.035079908,0.048910774,0.072974704,0.06680803,0.09726595,0.11152328,0.113016635,0.078966595,0.038240932,0.07267219,0.065115556,0.077920064,0.0617202,0.058135476,0.080005616,0.058782164,0.0482583,0.08771276,0.04392378,0.039970897,0.06497302,0.105296224,0.0587548,0.07697251,0.12662445,0.059152603,0.06986699,0.046969585,0.05812746,0.0934034,0.08195509,0.11215677,0.10017878,0.0758587,0.06362825,0.059901215,0.0944168,0.043018952,0.06666345,0.10617049,0.040749148,0.115250096,0.07004442,0.06284441,0.09740751,0.056909867,0.05459272,0.081714734,0.08829468,0.08392278,0.054807574,0.085422814,0.060285132,0.076170005,0.03705033,0.10517937,0.086827375,0.15371716,0.0997386,0.05231743,0.15668991,0.10822089,0.137566,0.06206417,0.13161044,0.052144323,0.058435112,0.09910127,0.1501746,0.0737521,0.045509018,0.057050508,0.0692974,0.050034247,0.06910312,0.04961394,0.061387993,0.030682798,0.114420205,0.0957754,0.02456715,0.04792892,0.040057395,0.09235233,0.09960219,0.12444546,0.08019972,0.06395047,0.035864282,0.079810716,0.047587544,0.07502552,0.03857715,0.12826824,0.041067876,0.07403063,0.08148112,0.049720936,0.121268235,0.09857895,0.03604117,0.094527215,0.049334165,0.053334884,0.11459338,0.11229139,0.08406094,0.052407335,0.07181098,0.05156756,0.065601885,0.04084917,0.1005565,0.10733418,0.11208384,0.09766102,0.096618675,0.10119202,0.12603179,0.05051429,0.0656761,0.07988018,0.12261182
0.09402531,0.053340938,0.11856527,0.113835365,0.04457192,0.06319972,0.11406416,0.09001713,0.12960045,0.091467544,0.093255416,0.05099288,0.0760328,0.09620829,0.094799705,0.056911133,0.050834782,0.1136251,0.07028777,0.11544365,0.15008365,0.093940765,0.093151405,0.051236276,0.075868726,0.05904197,0.036585275,0.053421456,0.044556662,0.05815637,0.13712671,0.07962629,0.06706214,0.054226574,0.05795862,0.073887125,0.13172872,0.08755657,0.1053936,0.02919846,0.07421672,0.040070917,0.033543803,0.06887637,0.060195554,0.040309824,0.062676005,0.061120242,0.051864106,0.079838626,0.06285047,0.03614556,0.09739375,0.07507438,0.12142588,0.09452807,0.07882502,0.08149098,0.088153385,0.10977037,0.06845753,0.05072248,0.087913275,0.09177393,0.051333908,0.059465133,0.101338744,0.039520863,0.03404034,0.121367656,0.033585437,0.047776517,0.073923215,0.0673298,0.097962625,0.1107975,0.11545499,0.081760794,0.037057746,0.075043954,0.05801274,0.07038277,0.06153513,0.05416074,0.07377083,0.064356335,0.045399565,0.089730546,0.048431017,0.042398863,0.06546779,0.10368581,0.062332895,0.07813811,0.12620541,0.06558864,0.06516486,0.046016496,0.06318807,0.080995366,0.095997825,0.11821657,0.09902464,0.09449037,0.06710667,0.055314064,0.09705023,0.040502846,0.06565753,0.11459492,0.034547705,0.10471082,0.079907775,0.0622804,0.10597882,0.068405055,0.052837733,0.07611237,0.081741795,0.08416379,0.058468483,0.084942065,0.0559745,0.08975207,0.04183865,0.10758432,0.07903769,0.1510907,0.10127353,0.051449977,0.15412037,0.11370825,0.13256493,0.05812607,0.12394309,0.05531989,0.057247236,0.105686575,0.15412809,0.06755045,0.047453217,0.051447988,0.0663726,0.057328362,0.06236677,0.041479863,0.0655812,0.029679647,0.117712684,0.08771132,0.023913572,0.043312415,0.03881213,0.09157908,0.09813451,0.12509252,0.079596564,0.06820512,0.031052675,0.07690834,0.042086102,0.06722182,0.037624743,0.122973375,0.043892425,0.06494296,0.092885986,0.04942311,0.11248053,0.09401866,0.03762768,0.0862199,0.04691218,0.05710272,0.11597512,0.11224977,0.06891751,0.046465725,0.07013311,0.05078774,0.055406503,0.03718336,0.10505086,0.10014825,0.11502224,0.09737601,0.092990525,0.094527625,0.12964602,0.048197348,0.05715812,0.09167195,0.12558322
0.10145044,0.054229043,0.117425986,0.1108704,0.04872682,0.06441856,0.11223868,0.088760346,0.1285837,0.10228062,0.09999227,0.09257088,0.07366713,0.09326833,0.09893058,0.062022574,0.04948146,0.117288664,0.07092266,0.115772694,0.1444217,0.093076184,0.09555698,0.047895286,0.07592138,0.053665467,0.032837078,0.050826102,0.054476198,0.080632135,0.12928863,0.075788334,0.06726757,0.052883584,0.049960848,0.07229974,0.11977499,0.08947944,0.10932393,0.026574643,0.073341,0.037743803,0.036429215,0.07003867,0.060754508,0.04102589,0.07256489,0.06025711,0.05428814,0.078822166,0.061157964,0.031789847,0.102029495,0.07959312,0.12429371,0.093489595,0.088722326,0.08244913,0.094961144,0.0898425,0.06544217,0.045104567,0.09095068,0.08258907,0.048567694,0.05591015,0.10179758,0.040778026,0.036686897,0.110051684,0.03181119,0.049793653,0.077911034,0.06774795,0.103449754,0.11252104,0.11220961,0.08662265,0.045367554,0.0846646,0.055029135,0.061788112,0.05954961,0.04679953,0.074526794,0.076410785,0.04542932,0.09820826,0.049620293,0.04521136,0.063572936,0.09878217,0.067561015,0.07412276,0.12573239,0.06835297,0.06456879,0.04755763,0.06586121,0.08789616,0.10235232,0.12903214,0.09201424,0.102683395,0.06308773,0.05568725,0.096967205,0.036133148,0.06279512,0.10963851,0.03350122,0.11076905,0.08954063,0.059548445,0.116246775,0.071518764,0.05332148,0.07181558,0.074122384,0.08505509,0.059155103,0.08472928,0.056560554,0.09532277,0.043082852,0.10907498,0.08800357,0.14154257,0.10234229,0.04634698,0.15257746,0.11539193,0.14205235,0.06353133,0.110890895,0.06412647,0.06540902,0.10355211,0.16507572,0.058240514,0.04651407,0.05102107,0.064592525,0.06703525,0.059854165,0.03863945,0.07453037,0.028751645,0.11961934,0.07801852,0.023423932,0.047085613,0.044613987,0.103205,0.1050333,0.13372599,0.08022968,0.07838249,0.031731784,0.081636205,0.042256277,0.06946985,0.040501386,0.11428926,0.0433211,0.06601467,0.09387599,0.04792172,0.10165228,0.092457265,0.039201282,0.08139702,0.04144237,0.061863445,0.123263404,0.10455596,0.06590779,0.051927663,0.075200565,0.047645178,0.05663814,0.03829374,0.10325392,0.09847018,0.10160678,0.10557066,0.096118696,0.10213333,0.13407482,0.043487933,0.05258471,0.08642867,0.13100368
0.11775182,0.041756608,0.15487844,0.16677873,0.047225162,0.097583435,0.14176597,0.115035884,0.17102097,0.1305527,0.15573058,0.16568936,0.16884652,0.12174021,0.10863065,0.090638936,0.07566392,0.13311297,0.088689424,0.10710577,0.16080587,0.11835346,0.11020365,0.07166775,0.09410052,0.060036547,0.06032617,0.071766846,0.0703712,0.09077199,0.14160188,0.11382652,0.087337956,0.035894312,0.06855081,0.037938073,0.14782378,0.11492438,0.11574049,0.029763227,0.06807296,0.094061635,0.06863762,0.06759563,0.056402456,0.064639024,0.071663246,0.06515103,0.10118979,0.073170975,0.05186166,0.074518576,0.08366538,0.08813329,0.14270048,0.11446091,0.0644638,0.07404984,0.08074537,0.11887266,0.08132912,0.062289607,0.10801039,0.09258306,0.07940902,0.055893555,0.09477928,0.04404002,0.045248117,0.16031158,0.04062048,0.09870852,0.08927228,0.07515923,0.083487384,0.1227999,0.10857928,0.046964444,0.049687736,0.07523951,0.084155716,0.09523378,0.050088953,0.06530216,0.089054026,0.08701006,0.03627803,0.1219348,0.031377517,0.050494544,0.104775995,0.13707718,0.062434193,0.08092763,0.16091403,0.06391315,0.06472108,0.044875275,0.0749731,0.032637402,0.070868954,0.13849606,0.108049214,0.079847805,0.084030956,0.048352145,0.0867507,0.07791505,0.06758837,0.10402765,0.039563764,0.1478547,0.10767246,0.060944457,0.12301413,0.097226396,0.06303503,0.09782268,0.112145975,0.07423495,0.072283365,0.08166481,0.06088665,0.09069217,0.06824637,0.1273988,0.11852254,0.11939231,0.10871017,0.06844865,0.16639191,0.1435327,0.16286421,0.10755794,0.12696204,0.072557665,0.07431131,0.14337401,0.18608813,0.08235173,0.06284165,0.072857246,0.10095413,0.0698837,0.066553846,0.0755744,0.06558204,0.07205457,0.11618027,0.123740695,0.05783726,0.073758595,0.053983636,0.12566292,0.14474493,0.1491993,0.079932846,0.07705394,0.037485477,0.10506527,0.06972304,0.11717445,0.049386278,0.14459008,0.039220583,0.08181266,0.07744102,0.083292745,0.13904111,0.10864173,0.041786887,0.0716759,0.079757355,0.06286315,0.13656594,0.103435844,0.07787176,0.03206786,0.10774814,0.052504346,0.11305529,0.06416957,0.14271349,0.08897001,0.13882738,0.13056326,0.101210035,0.14565833,0.14378612,0.06705057,0.084712,0.11351748,0.16001555
